Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,Rush_Att,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Solo,Int,Sk,College/Univ,,-9999
3,85,NWE,Antonio Garcia,T,23,,0,0,0,,,,,,,,,,,,,,,,,,Troy,College Stats,GarcAn00
3,86,KAN,Kareem Hunt,RB,22,2024,0,1,3,49,29,104,0,0,0,0,0,1230,5164,47,249,2066,17,,,,Toledo,College Stats,HuntKa00
3,87,NYG,Davis Webb,QB,22,2022,0,0,0,1,1,2,23,40,168,1,0,8,38,1,0,0,0,,,,California,College Stats,WebbDa00
3,88,OAK,Eddie Vanderdoes,DT,22,2019,0,0,1,5,5,19,0,0,0,0,0,0,0,0,0,0,0,18,,,UCLA,College Stats,VandEd00
3,89,HOU,D'Onta Foreman,RB,21,2024,0,0,1,17,2,63,0,0,0,0,0,623,2558,14,40,396,3,,,,Texas,College Stats,ForeDO00
3,90,SEA,Shaquill Griffin,DB,22,2024,0,1,5,30,21,106,0,0,0,0,0,0,0,0,0,0,0,324,9,1.0,Central Florida,College Stats,GrifSh00
3,91,LAR,John Johnson,S,21,2024,0,0,5,29,19,105,0,0,0,0,0,0,0,0,0,0,0,370,15,1.0,Boston Col.,College Stats,JohnJo10
3,92,DAL,Jourdan Lewis,CB,22,2024,0,0,3,23,23,115,0,0,0,0,0,2,12,0,0,0,0,275,10,9.5,Michigan,College Stats,LewiJo01
3,93,GNB,Montravius Adams,DT,22,2024,0,0,1,15,4,96,0,0,0,0,0,0,0,0,0,0,0,61,,2.5,Auburn,College Stats,AdamMo00
3,94,PIT,Cameron Sutton,CB,22,2024,0,0,3,21,16,110,0,0,0,0,0,0,0,0,0,0,0,200,9,2.0,Tennessee,College Stats,SuttCa00
3,95,SEA,Lano Hill,S,21,2020,0,0,0,5,5,42,0,0,0,0,0,0,0,0,0,0,0,41,,,Michigan,College Stats,HillDe02
3,96,DET,Kenny Golladay,WR,23,2022,0,1,4,27,23,73,0,0,0,0,0,2,17,0,226,3670,22,,,,Northern Illinois,College Stats,GollKe00
3,97,MIA,Cordrea Tankersley,CB,23,2020,0,0,1,4,4,19,0,0,0,0,0,0,0,0,0,0,0,28,,,Clemson,College Stats,TankCo00
3,98,ARI,Chad Williams,WR,22,2019,0,0,1,1,1,17,0,0,0,0,0,3,42,0,20,202,1,,,,Grambling St.,,WillCh05
3,99,PHI,Rasul Douglas,CB,22,2024,0,0,3,27,6,120,0,0,0,0,0,0,0,0,0,0,0,356,19,2.0,West Virginia,College Stats,DougRa00
3,100,TEN,Jonnu Smith,TE,22,2024,0,1,5,27,10,124,0,1,0,0,0,19,126,1,307,3307,28,,,,Florida International,College Stats,SmitJo01
3,101,DEN,Brendan Langley,CB,22,2018,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,6,,,Lamar,,LangBr00
3,102,SEA,Nazair Jones,DT,22,2018,0,0,0,3,3,20,0,0,0,0,0,0,0,0,0,0,0,12,1,2.0,North Carolina,College Stats,JoneNa00
3,103,NOR,Trey Hendrickson,OLB,22,2024,1,4,5,56,10,110,0,0,0,0,0,0,0,0,0,0,0,151,,77.0,Florida Atlantic,College Stats,HendTr00
3,104,SFO,C.J. Beathard,QB,23,2023,0,0,0,9,8,32,340,563,3886,19,14,64,266,4,0,0,0,,,,Iowa,College Stats,BeatC.00
3,105,PIT,James Conner,RB,22,2024,0,2,6,48,17,107,0,0,0,0,0,1361,5970,59,281,2217,11,2,,,Pittsburgh,College Stats,ConnJa00
3,106,SEA,Amara Darboh,WR,23,2017,0,0,0,1,1,16,0,0,0,0,0,0,0,0,8,71,0,2,,,Michigan,College Stats,DarbAm00
3,107,TAM,Kendell Beckwith,ILB,22,2017,0,0,0,5,5,16,0,0,0,0,0,0,0,0,0,0,0,60,,1.0,LSU,College Stats,BeckKe00
4,108,GNB,Vince Biegel,LB,24,2021,0,0,1,5,1,43,0,0,0,0,0,0,0,0,0,0,0,42,1,2.5,Wisconsin,College Stats,BiegVi00
4,109,MIN,Jaleel Johnson,DT,23,2023,0,0,1,16,12,86,0,0,0,0,0,0,0,0,0,0,0,76,,7.5,Iowa,College Stats,JohnJa09
4,110,JAX,Dede Westbrook,WR,23,2021,0,0,1,14,13,55,0,1,0,0,0,14,125,0,170,1788,9,1,,,Oklahoma,College Stats,WestDe00
4,111,SEA,Tedric Thompson,S,22,2021,0,0,2,9,8,38,0,0,0,0,0,0,0,0,0,0,0,63,3,,Colorado,College Stats,ThomTe00
4,112,CHI,Eddie Jackson,S,23,2024,1,2,7,45,45,111,0,0,0,0,0,0,0,0,0,0,0,373,15,2.0,Alabama,College Stats,JackEd01
4,113,LAC,Rayshawn Jenkins,S,23,2024,0,0,6,31,11,122,0,0,0,0,0,0,0,0,0,0,0,344,10,5.5,Miami (FL),College Stats,JenkRa00
4,114,WAS,Samaje Perine,RB,21,2024,0,0,1,24,5,110,0,0,0,0,0,474,1922,9,179,1513,7,16,,,Oklahoma,College Stats,PeriSa00
4,115,ARI,Dorian Johnson,G,22,,0,0,0,,,,,,,,,,,,,,,,,,Pittsburgh,College Stats,JohnDo03
4,116,CIN,Carl Lawson,OLB,22,2024,0,0,2,20,10,89,0,0,0,0,0,0,0,0,0,0,0,76,,32.0,Auburn,College Stats,LawsCa00
4,117,LAR,Josh Reynolds,WR,22,2024,0,0,3,25,9,116,0,0,0,0,0,8,36,0,233,3127,20,7,,,Texas A&M,College Stats,ReynJo00
4,118,PHI,Mack Hollins,WR,23,2024,0,0,2,17,3,112,1,1,4,0,0,4,40,0,162,2069,15,20,,,North Carolina,College Stats,HollMa00
4,119,CHI,Tarik Cohen,RB,22,2020,1,1,2,21,21,51,2,3,22,2,0,264,1101,5,209,1575,9,1,,,North Carolina A&T,,CoheTa00
4,120,MIN,Ben Gedeon,ILB,22,2019,0,0,1,15,15,39,0,0,0,0,0,0,0,0,0,0,0,60,,,Michigan,College Stats,GedeBe00
4,121,SFO,Joe Williams,RB,24,,0,0,0,,,,,,,,,,,,,,,,,,Utah,College Stats,WillJo12
4,122,BAL,Nico Siragusa,G,23,,0,0,0,,,,,,,,,,,,,,,,,,San Diego St.,College Stats,SiraNi00
4,123,WAS,Montae Nicholson,S,21,2019,0,0,1,10,10,35,0,0,0,0,0,0,0,0,0,0,0,92,3,,Michigan St.,College Stats,NichMo00
4,124,DET,Jalen Reeves-Maybin,LB,22,2024,0,1,1,17,15,114,1,1,31,0,0,3,4,0,0,0,0,155,,1.5,Tennessee,College Stats,ReevJa00
4,125,LAR,Samson Ebukam,OLB,22,2023,0,0,6,36,19,113,0,0,0,0,0,0,0,0,0,0,0,176,1,33.0,Eastern Washington,,EbukSa00
4,126,CLE,Howard Wilson,CB,21,,0,0,0,,,,,,,,,,,,,,,,,,Houston,College Stats,WilsHo00
4,127,DET,Michael Roberts,TE,23,2018,0,0,0,1,1,23,0,0,0,0,0,0,0,0,13,146,3,,,,Toledo,College Stats,RobeMi01
4,128,CIN,Josh Malone,WR,21,2020,0,0,1,1,1,26,0,0,0,0,0,3,14,0,11,91,1,,,,Tennessee,College Stats,MaloJo00
4,129,OAK,David Sharpe,T,21,2023,0,0,0,4,3,45,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,College Stats,SharDa02
4,130,HOU,Julién Davenport,T,22,2021,0,0,2,16,10,60,0,0,0,0,0,0,0,0,0,0,0,,,,Bucknell,,DaveJu00
4,131,NWE,Deatrich Wise Jr.,DE,23,2024,0,0,3,38,38,126,0,0,0,0,0,0,0,0,0,0,0,177,,34.0,Arkansas,College Stats,WiseDe00
4,132,PHI,Donnel Pumphrey,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,San Diego St.,College Stats,PumpDo00
4,133,DAL,Ryan Switzer,WR,22,2019,0,0,0,3,1,41,0,0,0,0,0,10,26,0,50,321,1,,,,North Carolina,College Stats,SwitRy00
4,134,GNB,Jamaal Williams,RB,22,2024,0,0,3,33,19,117,0,0,0,0,0,1069,4122,32,187,1310,8,8,,,BYU,College Stats,WillJa06
