Player,Tm,Tgt20,Rec20,Ctch%20,Yds20,TD20,%Tgt20,Tgt10,Rec10,Ctch%10,Yds10,TD10,%Tgt10,Link
Brock Osweiler,HOU,1,1,100.00%,-6,0,1.50%,1,1,100.00%,-6,0,2.90%,All Brock Osweiler red zone receiving plays
Logan Paulsen,CHI,1,0,0.00%,0,0,1.40%,0,0,,0,0,0.00%,All Logan Paulsen red zone receiving plays
Donald Penn,OAK,1,1,100.00%,1,1,1.10%,1,1,100.00%,1,1,2.20%,All Donald Penn red zone receiving plays
Dontari Poe,KAN,1,1,100.00%,2,0,1.30%,1,1,100.00%,2,0,3.00%,All Dontari Poe red zone receiving plays
Bobby Rainey,NYG,1,0,0.00%,0,0,1.70%,0,0,,0,0,0.00%,All Bobby Rainey red zone receiving plays
Thomas Rawls,SEA,1,1,100.00%,11,0,1.40%,0,0,,0,0,0.00%,All Thomas Rawls red zone receiving plays
Denard Robinson,JAX,1,0,0.00%,0,0,1.50%,0,0,,0,0,0.00%,All Denard Robinson red zone receiving plays
Jeremy Ross,ARI,1,1,100.00%,4,1,1.30%,1,1,100.00%,4,1,2.60%,All Jeremy Ross red zone receiving plays
Greg Salas,BUF,1,0,0.00%,0,0,2.00%,0,0,,0,0,0.00%,All Greg Salas red zone receiving plays
Anthony Sherman,KAN,1,1,100.00%,2,0,1.30%,0,0,,0,0,0.00%,All Anthony Sherman red zone receiving plays
Wendell Smallwood,PHI,1,1,100.00%,4,0,1.20%,1,1,100.00%,4,0,4.00%,All Wendell Smallwood red zone receiving plays
Devin Smith,NYJ,1,0,0.00%,0,0,1.40%,0,0,,0,0,0.00%,All Devin Smith red zone receiving plays
Jaelen Strong,HOU,1,0,0.00%,0,0,1.50%,1,0,0.00%,0,0,2.90%,All Jaelen Strong red zone receiving plays
Erik Swoope,IND,1,0,0.00%,0,0,1.50%,0,0,,0,0,0.00%,All Erik Swoope red zone receiving plays
Randall Telfer,CLE,1,0,0.00%,0,0,1.80%,1,0,0.00%,0,0,5.00%,All Randall Telfer red zone receiving plays
Mike Thomas,LAR,1,0,0.00%,0,0,2.00%,0,0,,0,0,0.00%,All Mike Thomas red zone receiving plays
D.J. Tialavea,ATL,1,1,100.00%,1,1,1.10%,1,1,100.00%,1,1,2.00%,All D.J. Tialavea red zone receiving plays
Levine Toilolo,ATL,1,0,0.00%,0,0,1.10%,0,0,,0,0,0.00%,All Levine Toilolo red zone receiving plays
Laquon Treadwell,MIN,1,0,0.00%,0,0,1.40%,0,0,,0,0,0.00%,All Laquon Treadwell red zone receiving plays
Will Tukuafu,SEA,1,0,0.00%,0,0,1.40%,1,0,0.00%,0,0,3.20%,All Will Tukuafu red zone receiving plays
Hakeem Valles,ARI,1,0,0.00%,0,0,1.30%,1,0,0.00%,0,0,2.60%,All Hakeem Valles red zone receiving plays
Danny Vitale,CLE,1,0,0.00%,0,0,1.80%,1,0,0.00%,0,0,5.00%,All Danny Vitale red zone receiving plays
Terron Ward,ATL,1,1,100.00%,11,0,1.10%,0,0,,0,0,0.00%,All Terron Ward red zone receiving plays
DeAndre Washington,OAK,1,0,0.00%,0,0,1.10%,1,0,0.00%,0,0,2.20%,All DeAndre Washington red zone receiving plays
Griff Whalen,SDG,1,0,0.00%,0,0,1.10%,1,0,0.00%,0,0,2.90%,All Griff Whalen red zone receiving plays
Lucky Whitehead,DAL,1,1,100.00%,8,0,1.90%,0,0,,0,0,0.00%,All Lucky Whitehead red zone receiving plays
Kerwynn Williams,ARI,1,0,0.00%,0,0,1.30%,0,0,,0,0,0.00%,All Kerwynn Williams red zone receiving plays
Wendall Williams,HOU,1,0,0.00%,0,0,1.50%,0,0,,0,0,0.00%,All Wendall Williams red zone receiving plays
Russell Wilson,SEA,1,1,100.00%,15,1,1.40%,0,0,,0,0,0.00%,All Russell Wilson red zone receiving plays
Zach Zenner,DET,1,1,100.00%,5,0,1.20%,0,0,,0,0,0.00%,All Zach Zenner red zone receiving plays
