player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_overall_tackle,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_grades_tackle,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_overall_tackle,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_grades_tackle,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_overall_tackle,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_grades_tackle,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_overall_tackle,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_grades_tackle,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Drew Lock,39517,QB,DEN,13,484,68.3,142,157,10,2.64,4,12,7.2,56.7,89,78,8.2,174,36,8,58,,,,,30.4,47.9,34.2,,49,,58.4,,5,8,183,11.5,72.5,5.2,9,8,0,6,7,13,7.1,1113,7.1,0,10,29.8,63.5,63.4,53.6,68.9,264,286,9.6,2.88,4,18,6,57.7,165,82,9.3,310,64,17,93,,,,,81.4,72.5,85.1,,72,,57.2,,6,7,327,12.2,77,3.2,10,14,2,10,9,10,3.1,1820,6.4,75.7,301,313,9.1,2.51,6,24,7.3,66.5,208,0,8.8,324,66.9,20,126,,,,,90.9,87.5,85.3,,86.1,,55.8,,0,7,340,,95.8,0,0,11,2,4,14,10,2.9,2460,7.9,4,48.6,105,130,11.7,3.37,2,6,4.3,35.4,46,160,9.8,160,33.1,5,25,,,,,25.9,26,30.9,,26.5,,59.7,,11,8,170,11.9,26.2,11.9,19,11,0,12,2,13,7.6,473,3.6
Lamar Jackson,46416,QB,BLT,15,457,74.5,94,102,8.3,2.8,4,4,3.8,59.8,61,54,12.9,122,26.7,9,45,,,,,37.6,58.3,81.4,,58.4,,58.5,,1,3,126,13,92,5.7,7,13,1,2,7,7,5.6,720,7.1,0,3,46.4,81.5,76.9,79.3,74.9,259,274,9.6,3.27,5,17,5.9,66.1,181,115,6.7,335,73.3,13,117,,,,,58.3,89.4,85.4,,82.1,,90.7,,1,6,352,19.1,102.1,6.6,22,38,2,7,19,10,2.8,2037,7.4,76.9,264,272,9,2.52,5,12,4.2,69.1,188,0,7.4,288,63,15,111,,,,,90.7,84,84.8,,80.8,,75.3,,0,6,301,,107,0,0,15,3,0,21,8,2.7,2012,7.4,2,68.5,89,104,9.9,4.21,4,9,8.2,51.9,54,169,11.5,169,37,7,51,,,,,23.8,72.1,82.7,,62.7,,84.7,,2,3,177,17.2,79.2,17.2,29,36,0,9,5,9,5.1,745,7.2
Joe Burrow,28022,QB,CIN,10,453,74.3,105,113,8.3,2.57,2,3,2.5,62.8,71,49,9,129,28.5,7,52,,,,,38.6,72.1,81.8,,69.8,57.6,72.1,,2,3,137,22.4,86.5,8.5,11,5,0,4,5,4,2.9,769,6.8,0,7,28.7,75.1,74.3,58,73.2,276,291,9.1,2.61,1,12,4,66.3,193,97,4.5,324,71.5,9,103,,,,,31.9,72.1,85.2,,73.7,,34.6,,4,2,335,21.6,91.1,6.5,21,11,3,7,8,11,3.3,1919,6.6,79.3,295,302,8.1,2.26,3,11,3.5,74.8,226,0,3.4,307,67.8,8,125,,,,,68.2,86.7,85,,86.2,57.6,35.3,,0,3,319,,102.5,0.3,1,4,3,1,10,8,2.5,2258,7.5,2,53.5,86,102,11.5,3.31,0,4,3.7,37.3,38,146,17.4,146,32.2,8,30,,,,,22.4,44.9,82.1,,45.1,,57.9,,6,2,153,21.2,52.3,21.2,31,12,0,10,3,7,4.6,430,4.2
Sam Darnold,29048,QB,NYJ,12,425,70.7,116,130,7.8,2.49,3,2,1.5,60.8,79,69,3.7,156,36.7,3,52,,,,,67.2,61.5,82.4,,56.7,,91,,3,4,164,29,75.8,12.8,20,6,1,7,3,7,4.3,879,6.8,0,22,77.9,58.4,52.7,87.7,73.6,208,234,8.3,3.04,2,7,2.8,59,138,110,9.8,269,63.3,15,65,,,,,79.1,54.3,84.6,,51.8,,72.4,,6,7,285,13.6,71,5.6,15,20,2,16,6,10,3.5,1329,5.7,74,231,238,7.3,2.32,1,4,1.6,68.1,162,0,5.3,246,57.9,9,73,,,,,90.4,59.1,84.2,,58,,67,,0,7,256,,81.7,0,0,8,3,3,6,10,3.9,1530,6.4,1,68.8,93,126,10.2,3.55,4,5,3.6,43.7,55,179,14.1,179,42.1,9,44,,,,,52.1,54.7,83,,47.8,,87.2,,9,4,193,19.6,55.6,19.6,35,18,0,20,3,7,3.6,678,5.4
Cam Newton,6153,QB,NE,15,420,74.5,161,178,6.2,2.62,4,5,2.7,61.8,110,75,8.3,208,49.5,10,66,,,,64.7,90.1,67.3,83.6,,63.3,95.1,74.5,,6,5,219,32,78.2,11.5,24,6,0,7,6,2,0.9,1071,6,0,19,76,70.9,67.8,66.2,81.5,173,190,8.3,3.07,9,6,3,69.5,132,55,6.4,212,50.5,9,75,,,,64.7,74,72.9,83.7,,69.9,91.2,69,,0,5,225,12.7,87.3,3.3,7,14,2,6,2,8,3.6,1586,8.3,81.3,262,279,7.2,2.6,11,9,3.1,70.3,196,0,8,290,69,17,111,,,,68.3,80.1,79,84.9,,77.1,97.3,48.8,,0,4,303,,94.7,0,0,10,2,4,7,6,2,2123,7.6,1,66.7,72,89,7.7,3.39,2,2,2,51.7,46,130,4.2,130,31,2,30,,,,,87.3,53.2,81.9,,45.3,60,90.7,,6,6,141,23.8,45.8,23.8,31,10,0,9,1,4,2.8,534,6
Drew Brees,802,QB,NO,12,405,83,94,102,6.1,2.43,0,3,2.8,70.6,72,38,7.7,107,26.4,6,42,,,,,85.6,85.3,81,,83.6,56.8,,,2,1,111,13.2,115.3,4.7,5,0,1,5,7,0,0,871,8.5,0,20,66.1,73,70.6,71.6,78.1,274,288,6.8,2.49,5,12,4,70.5,203,67,5.1,298,73.6,11,106,,,,,53.5,62.9,84.9,,62.7,,54.2,,1,5,310,11.9,103.2,2.7,8,2,1,7,17,19,6.1,2071,7.2,80.3,289,300,6.5,2.31,4,14,4.6,73.3,220,0,5.2,300,74.1,12,123,,,,,90.7,81.7,84.9,,79.9,56.8,,,1,4,306,,111.8,0,0,0,2,4,19,11,3.6,2376,7.9,2,75.9,79,90,7,2.94,1,1,1,61.1,55,105,8.3,105,25.9,5,25,,,,,25.3,43.5,81.1,,44.9,,54.2,,2,2,115,12.4,88.5,12.4,13,2,0,8,5,8,7,566,6.3
Gardner Minshew,41401,QB,JAX,9,378,76.5,98,103,9.6,2.43,0,9,8.4,72.8,75,49,0,117,31,0,51,,,,,86.3,86.3,81.3,,81.8,59.8,80.7,,1,2,122,18.4,111.8,7.7,9,5,1,3,7,1,0.8,853,8.3,0,15,52.6,67.8,66,67.7,74.5,204,224,8,2.92,2,7,3,62.9,141,81,7.2,261,69,11,76,,,,,49.1,57.5,84.4,,55.5,,70,,2,3,274,22.2,88.5,6.9,18,19,0,16,9,9,3.3,1406,6.3,77.1,227,235,7.3,2.39,1,8,3.3,72.3,170,0,2.9,248,65.6,5,101,,,,,90.4,79.6,84.1,,76.3,,76.2,,0,4,254,,101.2,0,0,13,1,6,11,4,1.6,1711,7.3,1,69.3,75,92,12,3.49,1,8,7.8,50,46,130,11.5,130,34.4,6,26,,,,,27.5,48.7,81.9,,46.1,59.8,70.7,,3,1,142,20.8,82.2,20.8,27,11,0,13,5,6,4.2,548,6
Andy Dalton,6187,QB,DAL,11,376,67.2,119,128,7.2,2.31,2,2,1.5,57.8,74,41,7.5,144,38.3,6,46,,,,,65.1,56.3,82.1,,55.5,,67.4,,4,4,150,26.8,79.1,7.6,11,3,0,3,7,4,2.7,726,5.7,0,9,75.1,69.9,69.8,55.7,81.8,192,205,7.7,2.58,3,9,4.2,69.3,142,70,9.6,232,61.7,15,75,,,,,90.3,77.5,84,,77.4,60,55,,1,4,243,18.6,92.4,5.6,13,12,0,9,7,7,2.9,1444,7,76.1,251,258,7.2,2.15,5,7,2.6,67.4,174,0,8.9,265,70.5,17,95,,,,,90.5,77.4,84.4,,75.2,60,70.7,,0,6,275,,91,0,0,4,0,2,11,7,2.5,1748,6.8,2,76.7,60,75,8.8,3.27,0,4,4.9,56,42,111,8.7,111,29.5,4,26,,,,,59,51.5,81.2,,53.2,60,52.4,,5,2,118,21.6,74.4,21.6,24,11,0,10,3,4,3.4,422,5.6
Nick Mullens,12282,QB,SF,10,348,77.1,109,120,6.4,2.34,5,1,0.8,64.2,77,57,8.3,133,38.2,7,43,,,,,27.4,58.7,81.8,,58.6,,,,3,2,139,21.1,87.3,9,12,0,0,3,3,6,4.3,875,7.3,0,28,61.2,56.9,56.7,55.9,74.7,190,206,7.1,2.63,6,9,4.1,65,134,74,5.6,215,61.8,8,77,,,,,90.2,56,83.7,,56.3,,54.5,,8,10,226,9.5,82.2,3.3,7,2,0,2,9,15,6.6,1562,7.6,79.1,206,215,6.8,2.27,7,7,3.2,71.6,154,0,5.5,217,62.4,9,91,,,,,90.2,70.4,83.6,,69.6,,58.3,,0,5,223,,104.2,0,0,1,0,2,10,11,4.9,1888,8.8,2,67.7,93,111,6.9,2.94,4,3,2.5,51.4,57,131,9.5,131,37.6,6,29,,,,,27.5,36.6,81.9,,38.2,,58.3,,11,7,142,14.5,45.2,14.5,19,1,0,3,2,10,7,549,4.9
Nick Foles,7089,QB,CHI,9,335,73.5,83,92,6.9,2.25,3,4,4.3,65.2,60,45,1.6,99,29.6,1,26,,,,,55.4,65.8,80.6,,65.1,,,,2,1,101,15.6,92.1,7.1,7,0,0,4,4,2,2,568,6.2,0,6,72.4,66.5,66.9,51.9,73.1,201,220,8.9,2.45,4,13,5.6,64.5,142,73,3.4,236,70.4,5,68,,,,,90.3,66.6,84,,66.4,,53.9,,3,7,249,15.1,76,4.7,11,4,1,11,6,9,3.6,1284,5.8,74.4,207,214,7.7,2.14,4,12,5.4,70.1,150,0,2.6,217,64.8,4,68,,,,,90.2,79.3,83.6,,78.4,,50,,0,5,225,,86.2,0,0,2,1,2,7,3,1.3,1260,5.9,4,70.1,77,98,10,2.86,3,5,4.8,53.1,52,118,3.7,118,35.2,2,26,,,,,61.2,44.6,81.4,,44.9,,62.9,,5,3,125,15.3,68.9,15.3,18,2,0,13,3,8,6.4,592,6
Mitch Trubisky,11757,QB,CHI,9,333,78.2,87,91,7.4,2.39,2,0,0,72.5,66,35,2.9,102,30.6,2,40,,,,,55.8,67.7,80.7,,64.3,,79.9,,1,2,105,20,116.9,6.9,7,3,0,1,9,5,4.8,667,7.3,0,6,33.4,62,58.8,73.4,69.7,201,206,8.5,2.81,0,10,4.8,64.6,133,48,5,231,69.4,7,92,,,,,39.1,59.5,83.8,,56.1,,81.3,,1,6,235,22.9,83.2,4.8,11,14,0,4,7,15,6.4,1388,6.7,74.3,237,239,7.7,2.41,2,7,2.9,70.3,168,0,4.5,250,75.1,8,105,,,,,77,65.4,84.1,,63.7,,70,,0,7,254,,95.6,0,0,11,0,0,13,14,5.5,1664,7,2,62.7,51,58,10.6,3.48,0,3,4.9,53.4,31,83,3.1,83,24.9,1,27,,,,,22.2,54.8,80,,46.8,,91.2,,2,1,86,21.7,84.8,21.7,18,6,0,5,3,6,7,391,6.7
Tua Tagovailoa,60326,QB,MIA,10,326,73.5,113,119,9,2.41,0,2,1.6,64.7,77,49,7.2,134,41.1,6,49,,,,,87.4,77.1,22.7,,74.6,55.2,77.7,,1,1,142,20.4,98.8,7.5,10,5,0,5,7,2,1.4,762,6.4,0,17,83.9,65.4,63.9,65.4,74.7,162,171,7.3,2.59,2,5,2.7,63.7,109,46,9.9,192,58.9,12,58,,,,,72.2,54,83.3,,54.4,55.4,57.1,,1,4,205,21.7,78.9,5.2,10,11,3,3,4,11,5.4,1052,6.2,79.2,216,224,7.2,2.28,1,6,2.5,70.1,157,0,8.2,231,70.9,14,86,,,,,90.3,74.2,46.3,,74.5,53.8,52.9,,0,3,245,,99.3,0,0,7,3,4,11,6,2.4,1504,6.7,1,55.9,59,66,11,3.09,1,1,1.4,43.9,29,95,12.1,95,29.1,4,21,,,,,55,43.7,80.6,,39.5,58.9,75.3,,2,2,102,21.1,45.6,21.1,20,9,0,4,0,7,6.9,310,4.7
Ryan Fitzpatrick,2467,QB,MIA,9,299,74.3,105,110,8.6,2.21,4,4,3.4,66.4,73,46,6.4,118,39.5,5,48,,,,,86.4,77.4,81.4,,74.1,,78.3,,0,3,125,13,90.4,5.1,6,2,0,1,5,4,3.2,771,7,0,17,90.9,75.1,70.7,80,81,147,157,7.9,2.48,4,8,4.8,70.1,110,52,7.6,181,60.5,9,67,,,,,89.7,68.8,83,,64.9,,76.9,,3,5,191,15.4,99.2,4.4,8,16,1,2,8,10,5.2,1320,8.4,79.6,181,191,7.5,2.2,7,8,4,70.2,134,0,6.9,201,67.2,10,80,,,,,90.1,74.8,83.4,,68.9,,91.3,,0,3,213,,103.9,0,0,10,1,2,10,9,4.2,1489,7.8,3,74.6,71,76,9.9,2.73,1,4,4.9,64.5,49,98,7.5,98,32.8,4,35,,,,,85.1,68.9,80.6,,69.6,,54.6,,3,5,103,14.3,74.6,14.3,14,8,0,1,3,5,4.9,602,7.9
Alex Smith,2218,QB,WAS,8,277,67.3,49,57,5.7,2.45,3,1,1.7,52.6,30,30,9.1,67,24.2,3,21,,,,,42.6,57.3,79.2,,57.2,,,,0,4,69,33.3,70.7,14.9,10,0,0,5,4,4,5.8,419,7.4,0,32,79.7,66,66.9,51.6,81.6,179,195,5.3,2.49,2,9,4.4,70.8,138,64,5.5,210,75.8,8,53,,,,,90.1,70.1,83.6,,69.8,,52.4,,2,4,220,18.8,80.8,5.7,12,3,0,12,2,3,1.4,1163,6,81.7,175,183,4.9,2.13,4,7,3.7,74.3,136,0,4.9,183,66.1,7,60,,,,,89.7,81.3,83,,79.4,,,,0,4,191,,91.5,0,0,0,0,4,4,3,1.6,1289,7,4,67.9,53,69,7,3.17,1,3,4.1,46.4,32,94,11.1,94,33.9,4,14,,,,,53.8,39.2,80.5,,41,,52.4,,2,4,98,23.4,43.9,23.4,22,3,0,13,2,4,4.1,293,4.2
Dwayne Haskins,41897,QB,WAS,7,269,80.3,61,63,6.6,2.2,1,1,1.6,73,46,16,6.1,70,26,3,32,,,,,82.5,62.3,79.3,,61.9,,60,,1,0,72,37.5,100.6,8.6,6,1,0,0,0,0,0,570,9,0,32,65.6,48.4,47.5,59.8,65.1,169,178,6.9,2.62,4,5,2.7,57.3,102,57,7.3,199,74,8,45,,,,,72,43.6,83.3,,43.3,58.9,66.9,,2,7,205,24.6,63.2,7,14,6,0,3,5,10,4.9,869,4.9,73.9,188,191,6.2,2.24,3,4,2,68.1,130,0,6.5,196,72.9,9,66,,,,,90,60,83.2,,58.5,,72.9,,0,5,203,,82.2,0,0,4,0,0,4,7,3.4,1253,6.6,1,47.6,42,50,9.7,3.24,2,2,4,36,18,73,10,73,27.1,2,11,,,,,43.1,28.4,79.5,,28.9,58.9,55.5,,3,2,74,27.4,37.6,27.4,20,3,0,3,1,3,4.1,186,3.7
Dak Prescott,10769,QB,DAL,5,240,76.3,59,67,8.5,2.4,3,3,4.3,65.7,44,18,2.2,73,30.4,1,33,,,,,37.6,84,79.5,,81.4,,63.3,,1,0,76,27.8,117.9,6.8,5,1,1,3,4,1,1.3,663,9.9,0,9,74.1,85.2,80.4,78.9,78.7,150,155,8.2,2.68,0,9,5.7,69,107,49,9.3,167,69.6,11,64,,,,64.7,88.8,79.7,82.6,,75.3,91.2,76.7,,3,4,171,10.2,91.7,3,5,7,0,2,5,8,4.7,1193,7.7,81.6,163,168,7.7,2.35,3,10,5.7,75,126,0,5.3,173,72.1,7,77,,,,64.7,89.3,91.3,82.8,,89.3,91.2,71.1,,0,1,180,,117.2,0,0,5,1,1,9,5,2.8,1502,8.9,0,65.2,46,54,10.2,3.23,0,2,3.7,46.3,25,67,16.7,67,27.9,5,20,,,,,31.8,54.2,79,,51.2,,74.8,,4,3,67,14.9,44.8,14.9,10,3,0,4,0,4,6,354,6.6
Mike Glennon,7854,QB,JAX,5,192,81.1,37,39,10.5,2.28,1,5,12.2,71.8,28,18,6.7,45,23.4,2,18,,,,,79.9,85.4,0,,86.6,,55.3,,0,0,47,27.8,131.1,11.1,5,1,0,1,4,1,2.1,328,8.4,0,15,71.6,67.5,69.4,36.3,69.8,129,140,8.3,2.46,3,6,4.2,59.3,83,30,7.8,147,76.6,7,39,,,,,65.3,56.7,82.1,,60.1,,29.1,,2,5,151,13.3,65.9,2.7,4,3,2,4,3,9,6,744,5.3,76.7,133,142,7.9,2.23,4,9,6.2,67.6,96,0,5.9,144,75,6,48,,,,,87.7,78.2,82,,77.6,,50.3,,0,3,148,,87.5,0,0,2,2,3,5,6,4.1,890,6.3,2,54.5,33,37,12.5,2.99,0,2,5.3,40.5,15,48,16.7,48,25,3,9,,,,,30,35.7,0,,45.7,,29.3,,2,2,50,18.8,51.9,18.8,9,2,0,2,2,4,8,182,4.9
Jalen Hurts,40291,QB,PHI,10,185,68.2,44,52,9.1,2.89,2,3,5.3,55.8,29,24,3.3,60,32.4,1,21,,,,,41.5,70.5,79,,65.5,59.7,79.9,,2,1,65,12.5,102.1,5,3,5,0,4,4,3,4.6,448,8.6,0,24,23.3,56.2,57.5,55.4,63.4,82,96,10.6,3.6,1,4,3.9,50,48,46,7.7,125,67.6,4,35,,,,64.7,27,54.6,81.9,,53.2,56,62.9,,3,3,132,19.6,64.3,7.2,9,20,1,9,2,6,4.5,613,6.4,67.7,96,101,9.2,3.02,3,4,3.7,61.4,62,0,4.6,115,62.2,3,40,,,,64.7,86.4,65,81.6,,62,57.2,71.6,,0,3,122,,86.2,0,0,14,1,1,4,4,3.3,778,7.7,4,56.7,30,47,13,3.94,0,3,5.9,31.9,15,70,11.8,70,37.8,2,16,,,,,18.9,52.9,79.6,,50.8,57.4,64.2,,5,1,75,17.1,59.1,17.1,12,11,0,12,2,5,6.7,283,6
Brandon Allen,10835,QB,CIN,5,155,75.8,33,35,9.9,2.36,1,4,9.8,68.6,24,11,4,36,23.2,1,14,,,,,79.3,72.7,77.4,,73.4,58.9,55.7,,1,1,42,0,115.3,0,0,1,0,0,3,2,4.8,331,9.5,0,7,69.1,56.5,55.7,58.8,70.6,102,107,6.2,2.55,1,2,1.8,61.7,66,25,8.3,119,76.8,6,28,,,,,60.5,44.8,81.4,,47.7,,43.2,,1,3,125,28,71.2,5.9,7,5,0,3,2,7,5.6,594,5.6,74.1,112,115,6.3,2.29,2,4,3.3,67,77,0,7.2,119,76.8,6,37,,,,,86.6,58.8,81.4,,60.7,,44,,0,2,127,,91,0,0,4,0,1,4,4,3.1,794,6.9,1,60.9,23,27,11,3.23,0,2,6.5,48.1,13,36,7.1,36,23.2,1,5,,,,,28.2,42.7,77.3,,45.5,58.9,51.1,,2,2,40,19.4,43.9,19.4,7,2,0,2,1,5,12.5,131,4.9
Jimmy Garoppolo,8697,QB,SF,6,155,75,56,56,5.2,2.3,0,1,1.8,71.4,40,23,4.8,64,41.3,2,23,,,,,81.9,70.9,78.9,,71,,56.8,,0,0,65,30.4,131.5,10.9,7,1,0,0,5,2,3.1,540,9.6,0,28,88.6,67.5,65.4,66.3,74.4,82,84,7.4,2.67,1,3,3.4,64.3,54,15,11.5,91,58.7,7,33,,,,,84.5,61.4,80.3,,60,,67.3,,0,5,94,26.7,66.4,4.4,4,3,0,1,2,2,2.1,556,6.6,76.3,114,116,6.3,2.34,1,3,2.6,69,80,0,8,117,75.5,7,50,,,,,86.1,67.4,81.2,,67.3,,55.7,,0,5,118,,93.4,0,0,1,0,1,6,3,2.5,962,8.3,0,66.7,24,24,7.3,3.07,0,1,3.7,58.3,14,38,12.5,38,24.5,2,6,,,,,79,60.8,77.3,,58,,68.5,,0,0,41,28.9,87.8,28.9,11,3,0,0,1,1,2.4,134,5.6
Taysom Hill,12112,QB,NO,12,154,86.7,45,49,7.6,2.84,1,1,1.9,75.5,37,25,5.1,59,38.3,2,23,,,,64.7,20.7,76.1,79.8,,72.6,54.7,90.1,,0,1,63,16,96.3,6.8,4,5,0,3,1,4,6.3,388,7.9,0,20,19.7,68.6,69.8,73.9,80,70,72,7.1,3.1,0,2,2.7,70.8,51,32,8.9,95,61.7,5,29,,,,31.8,56,62.4,83.7,,64.7,56.8,72.1,,1,1,98,31.3,100.5,10.5,10,13,0,1,3,3,3.1,540,7.5,87.6,89,91,6.8,2.55,1,2,2.2,79.1,72,0,7.7,97,63,6,38,,,,52.1,57,77.8,82.8,,82.7,61,77.3,,0,1,99,,110.1,0,0,5,0,1,4,4,4,728,8,4,65.4,26,30,9,3.76,0,1,2.9,53.3,16,57,5.9,57,37,1,14,,,,28.8,20.5,50.6,81.4,,42.3,44.8,80.1,,1,1,62,24.6,60.4,24.6,14,13,0,3,0,3,4.8,200,6.7
Joe Flacco,4332,QB,NYJ,5,146,62.5,48,55,10.3,2.47,1,1,1.6,52.7,29,34,3.3,59,40.4,1,17,,,,,82.1,35,79,,36.8,58.9,,,0,1,66,11.8,69,6.8,4,0,0,6,1,4,6.1,323,5.9,1,22,66.6,55.8,55.9,57.8,70.4,71,79,12,3.08,1,8,9.5,57,45,31,10,87,59.6,5,22,,,,,52.6,73.8,80.3,,73.6,,57.8,,1,2,94,9.7,88.6,3.4,3,5,0,6,5,4,4.3,541,6.8,68.8,77,79,11.6,2.46,1,9,10.8,62,49,0,7.5,81,55.5,4,24,,,,,83.8,69.4,79.9,,68.7,,59.2,,0,3,85,,92.4,0,0,2,0,1,5,6,7.1,633,8,3,64.3,42,55,10.8,3.3,1,0,0,45.5,25,65,7.4,65,44.5,2,15,,,,,45.4,40,79.5,,40.9,58.9,58.1,,1,0,75,10.8,63.5,10.8,7,3,0,11,1,2,2.7,231,4.2
Jake Luton,17287,QB,JAX,3,118,80.6,36,45,7.4,2.59,2,1,2.1,51.1,23,23,20.7,48,40.7,6,12,,,,,80.4,63.1,78,,58.7,,70.8,,2,1,51,8.7,54.3,4.2,2,1,0,5,0,1,2,204,4.5,0,15,59.9,39.8,37.7,70.8,62.9,62,65,9,2.61,2,3,4.5,56.9,37,19,5.1,70,59.3,2,20,,,,,44.1,28.6,79.3,,29.4,,,,0,5,72,26.3,54.6,7.1,5,0,0,1,2,8,11.1,420,6.5,79.5,73,76,6.8,2.24,2,2,2.5,68.4,52,0,10.3,76,64.4,6,27,,,,,83.4,49.5,79.7,,50.1,,,,0,3,80,,80,0,0,0,0,1,2,5,6.3,522,6.9,0,40,25,34,13.1,3.26,2,2,5.7,23.5,8,42,20,42,35.6,2,5,,,,,28.6,29.9,77.4,,28.8,,70.8,,2,3,43,16.7,2.8,16.7,7,1,0,5,0,4,9.3,102,3
C.J. Beathard,11859,QB,SF,6,114,66.7,21,24,7.8,2.31,0,0,0,50,12,15,14.3,27,23.7,2,8,,,,,77.6,52.8,76.3,,53.2,,,,1,0,31,20,83.7,11.1,3,0,0,2,1,0,0,150,6.3,0,28,61.8,67.7,64.9,68.5,81.3,75,80,8.6,2.53,1,4,4.7,67.5,54,26,11.5,87,76.3,7,34,,,,,52.1,71.3,80.2,,69,,65.6,,1,0,92,23.1,112.3,6.9,6,1,1,2,5,4,4.3,637,8,84.3,70,72,7.8,2.29,1,3,3.9,76.4,55,0,6.8,73,64,4,37,,,,,83.2,90.9,79.6,,88.6,,65.6,,0,0,78,,132.5,0,0,1,1,0,6,0,0,674,9.4,0,61.5,26,32,10.1,2.8,0,1,2.9,34.4,11,41,31.3,41,36,5,5,,,,,29.1,26.7,77.6,,27.6,,,,2,0,45,22,45.4,22,9,0,0,4,0,4,8.9,113,3.5
