Player,Tm,ins_20_att,ins_20_yds,ins_20_tds,ins_20_%rush,ins_10_att,ins_10_yds,ins_10_tds,ins_10_%rush,ins_5_att,ins_5_yds,ins_5_tds,ins_5_%rush,link,-9999
Tyler Lockett,SEA,1,2,0,1.7%,0,0,0,.0%,0,0,0,.0%,All Tyler Lockett red zone rushing plays,LockTy00
EJ Manuel,BUF,1,1,0,1.2%,1,1,0,1.7%,0,0,0,.0%,All EJ Manuel red zone rushing plays,ManuEJ00
Dexter McCluster,SDG,1,2,0,1.4%,1,2,0,2.8%,0,0,0,.0%,All Dexter McCluster red zone rushing plays,McClDe00
Cameron Meredith,CHI,1,6,0,2.2%,1,6,0,3.8%,0,0,0,.0%,All Cameron Meredith red zone rushing plays,MereCa00
Matt Moore,MIA,1,-1,0,1.8%,1,-1,0,3.1%,0,0,0,.0%,All Matt Moore red zone rushing plays,MoorMa01
Raheem Mostert,SFO,1,6,0,1.6%,0,0,0,.0%,0,0,0,.0%,All Raheem Mostert red zone rushing plays,MostRa00
JJ Nelson,ARI,1,9,0,1.4%,0,0,0,.0%,0,0,0,.0%,All JJ Nelson red zone rushing plays,NelsJJ00
Carson Palmer,ARI,1,0,0,1.4%,1,0,0,2.3%,1,0,0,3.7%,All Carson Palmer red zone rushing plays,PalmCa00
Cedric Peerman,CIN,1,2,0,1.3%,0,0,0,.0%,0,0,0,.0%,All Cedric Peerman red zone rushing plays,PeerCe00
Bryce Petty,NYJ,1,4,0,1.7%,1,4,0,3.1%,0,0,0,.0%,All Bryce Petty red zone rushing plays,PettBr01
Dontari Poe,KAN,1,1,1,1.5%,1,1,1,2.2%,1,1,1,5.3%,All Dontari Poe red zone rushing plays,PoexDo00
Terrelle Pryor,CLE,1,3,1,2.2%,1,3,1,3.4%,1,3,1,7.7%,All Terrelle Pryor red zone rushing plays,PryoTe00
Marcel Reece,SEA,1,0,0,1.7%,1,0,0,2.9%,1,0,0,5.9%,All Marcel Reece red zone rushing plays,ReecMa00
Daryl Richardson,PIT,1,1,0,2.2%,0,0,0,.0%,0,0,0,.0%,All Daryl Richardson red zone rushing plays,RichDa00
Mohamed Sanu,ATL,1,5,0,1.2%,1,5,0,2.0%,0,0,0,.0%,All Mohamed Sanu red zone rushing plays,SanuMo00
Tajae Sharpe,TEN,1,1,0,1.4%,0,0,0,.0%,0,0,0,.0%,All Tajae Sharpe red zone rushing plays,SharTa00
Antone Smith,TAM,1,7,0,1.7%,1,7,0,3.6%,0,0,0,.0%,All Antone Smith red zone rushing plays,SmitAn01
Golden Tate,DET,1,2,0,2.7%,0,0,0,.0%,0,0,0,.0%,All Golden Tate red zone rushing plays,TateGo00
Adam Thielen,MIN,1,4,0,1.5%,0,0,0,.0%,0,0,0,.0%,All Adam Thielen red zone rushing plays,ThieAd00
De'Anthony Thomas,KAN,1,4,0,1.5%,1,4,0,2.2%,0,0,0,.0%,All De'Anthony Thomas red zone rushing plays,ThomDe05
Andre Williams,SDG,1,-3,0,1.4%,1,-3,0,2.8%,0,0,0,.0%,All Andre Williams red zone rushing plays,WillAn00
Albert Wilson,KAN,1,-5,0,1.5%,0,0,0,.0%,0,0,0,.0%,All Albert Wilson red zone rushing plays,WilsAl02
James Wright,CIN,1,2,0,1.3%,0,0,0,.0%,0,0,0,.0%,All James Wright red zone rushing plays,WrigJa03
