Player,Tm,ins_20_att,ins_20_yds,ins_20_tds,ins_20_%rush,ins_10_att,ins_10_yds,ins_10_tds,ins_10_%rush,ins_5_att,ins_5_yds,ins_5_tds,ins_5_%rush,link,-9999
D.J. Moore,CAR,2,9,0,3.0%,1,-3,0,2.5%,0,0,0,.0%,All D.J. Moore red zone rushing plays,MoorD.00
Devine Ozigbo,JAX,2,3,0,3.2%,0,0,0,.0%,0,0,0,.0%,All Devine Ozigbo red zone rushing plays,OzigDe01
Elijhaa Penny,NYG,2,6,0,4.3%,2,6,0,6.7%,0,0,0,.0%,All Elijhaa Penny red zone rushing plays,PennEl00
Tony Pollard,DAL,2,26,1,2.6%,0,0,0,.0%,0,0,0,.0%,All Tony Pollard red zone rushing plays,PollTo00
Troymaine Pope,LAC,2,-1,0,3.4%,0,0,0,.0%,0,0,0,.0%,All Troymaine Pope red zone rushing plays,PopeTr00
Jalen Richard,OAK,2,7,0,3.2%,0,0,0,.0%,0,0,0,.0%,All Jalen Richard red zone rushing plays,RichJa01
Mason Rudolph,PIT,2,2,0,3.4%,2,2,0,6.1%,0,0,0,.0%,All Mason Rudolph red zone rushing plays,RudoMa00
Deebo Samuel,SFO,2,21,1,2.6%,0,0,0,.0%,0,0,0,.0%,All Deebo Samuel red zone rushing plays,SamuDe00
Wendell Smallwood,WAS,2,0,0,4.5%,0,0,0,.0%,0,0,0,.0%,All Wendell Smallwood red zone rushing plays,SmalWe00
Keith Smith,ATL,2,5,0,3.6%,0,0,0,.0%,0,0,0,.0%,All Keith Smith red zone rushing plays,SmitKe03
Darren Sproles,PHI,2,6,0,2.7%,0,0,0,.0%,0,0,0,.0%,All Darren Sproles red zone rushing plays,SproDa00
Matthew Stafford,DET,2,4,0,3.9%,1,4,0,2.9%,0,0,0,.0%,All Matthew Stafford red zone rushing plays,StafMa00
Spencer Ware,KAN,2,6,0,3.0%,1,1,0,2.9%,0,0,0,.0%,All Spencer Ware red zone rushing plays,WareSp00
Kerrith Whyte,PIT,2,4,0,3.4%,1,-1,0,3.0%,0,0,0,.0%,All Kerrith Whyte red zone rushing plays,WhytKe00
Albert Wilson,MIA,2,12,0,3.4%,0,0,0,.0%,0,0,0,.0%,All Albert Wilson red zone rushing plays,WilsAl02
Robert Woods,LAR,2,8,1,2.5%,2,8,1,3.8%,0,0,0,.0%,All Robert Woods red zone rushing plays,WoodRo02
T.J. Yeldon,BUF,2,2,0,2.9%,1,0,0,3.0%,0,0,0,.0%,All T.J. Yeldon red zone rushing plays,YeldT.00
Brandon Allen,DEN,1,11,0,1.7%,0,0,0,.0%,0,0,0,.0%,All Brandon Allen red zone rushing plays,AlleBr00
Javorius Allen,NYG,1,1,1,2.1%,1,1,1,3.3%,1,1,1,7.7%,All Javorius Allen red zone rushing plays,AlleJa01
Tavon Austin,DAL,1,2,0,1.3%,0,0,0,.0%,0,0,0,.0%,All Tavon Austin red zone rushing plays,AustTa00
Odell Beckham,CLE,1,11,0,1.5%,0,0,0,.0%,0,0,0,.0%,All Odell Beckham red zone rushing plays,BeckOd00
David Blough,DET,1,5,0,2.0%,1,5,0,2.9%,0,0,0,.0%,All David Blough red zone rushing plays,BlouDa00
Drew Brees,NOR,1,1,1,1.4%,1,1,1,2.8%,1,1,1,7.7%,All Drew Brees red zone rushing plays,BreeDr00
Tra Carson,DET,1,2,0,2.0%,0,0,0,.0%,0,0,0,.0%,All Tra Carson red zone rushing plays,CarsTr01
Keke Coutee,HOU,1,4,1,1.6%,1,4,1,3.3%,1,4,1,5.3%,All Keke Coutee red zone rushing plays,CoutKe00
