player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Lee Smith,6311,TE,OAK,16,1,23,53.3,100,103,49.3,103,59,5,100,209,209,66.6,100,92,44,92
Golden Tate,5585,WR,DET,16,0,11,67.4,98.6,72,34.4,73,66.8,0,97.7,209,214,65.8,100,119,56.9,119
Andre Smith,4929,T,CIN,12,0,7,60.5,100,95,46.1,95,66.5,2,100,206,206,65.7,100,86,41.7,86
Demarcus Robinson,10760,WR,KC,15,0,16,72.8,100,73,35.6,73,63.3,0,100,205,205,63.4,100,116,56.6,116
Spencer Drango,10802,T,CLV,10,0,8,60.9,100,66,32.5,66,51.1,0,100,203,203,44.3,100,115,56.7,115
Allen Barbre,3735,G,DEN,12,0,10,77.6,100,96,47.3,96,66.1,2,100,203,203,57.7,100,83,40.9,83
Josh Wells,8968,T,JAX,11,0,15,57,100,70,34.8,70,64.8,0,100,201,201,69.2,100,114,56.7,114
Chris Manhertz,10211,TE,CAR,16,1,5,60.9,100,112,55.7,112,58.3,2,100,201,201,56.9,100,49,24.4,49
Tommy Bohanon,7997,FB,JAX,16,0,15,69.6,100,92,46,92,69.3,1,97.6,200,205,62.4,100,85,42.5,85
DeVante Parker,9447,WR,MIA,13,0,17,63.4,100,76,38,76,61.8,0,100,200,200,63.5,100,115,57.5,115
Emmanuel Sanders,5606,WR,DEN,12,0,10,62,100,98,49,98,69.9,0,100,200,200,76.1,100,85,42.5,85
Ethan Pocic,11813,G,SEA,11,0,29,69,100,50,25,50,52.9,0,100,200,200,48.6,100,127,63.5,127
Will Fuller V,10655,WR,HST,10,0,13,60.6,100,47,23.6,47,54.4,0,99,199,201,58.8,100,137,68.8,137
Evan Boehm,10762,G,ARZ,10,0,1,51.8,100,96,49,96,69.1,2,100,196,196,77.1,100,77,39.3,77
Martavis Bryant,8753,WR,PIT,15,0,25,61.6,100,91,46.4,91,61.4,0,97,196,202,62.7,100,83,42.3,83
