Player,Tm,ins_20_att,ins_20_yds,ins_20_tds,ins_20_%rush,ins_10_att,ins_10_yds,ins_10_tds,ins_10_%rush,ins_5_att,ins_5_yds,ins_5_tds,ins_5_%rush,link,-9999
James Cook,BUF,11,29,0,14.5%,4,11,0,10.3%,0,0,0,.0%,All James Cook red zone rushing plays,CookJa01
Damien Harris,NWE,11,39,3,17.7%,6,19,3,18.8%,2,4,2,16.7%,All Damien Harris red zone rushing plays,HarrDa06
Tyler Huntley,BAL,11,29,1,12.5%,4,13,1,10.0%,1,2,1,6.3%,All Tyler Huntley red zone rushing plays,HuntTy01
Kenny Pickett,PIT,11,30,3,14.9%,7,8,3,17.1%,6,5,3,25.0%,All Kenny Pickett red zone rushing plays,PickKe00
Rachaad White,TAM,11,25,1,22.0%,5,4,1,17.2%,3,2,1,23.1%,All Rachaad White red zone rushing plays,WhitRa01
Jacoby Brissett,CLE,10,22,2,12.7%,5,7,2,13.2%,2,7,2,10.5%,All Jacoby Brissett red zone rushing plays,BrisJa00
Tyrion Davis-Price,SFO,10,8,0,9.8%,4,-1,0,6.7%,1,-1,0,3.2%,All Tyrion Davis-Price red zone rushing plays,DaviTy03
Zonovan Knight,NYJ,10,30,1,16.4%,4,1,0,13.3%,3,1,0,21.4%,All Zonovan Knight red zone rushing plays,KnigZo00
Boston Scott,PHI,10,34,3,8.4%,5,16,3,6.9%,3,3,2,7.3%,All Boston Scott red zone rushing plays,ScotBo02
Tom Brady,TAM,9,3,1,18.0%,2,2,1,6.9%,2,2,1,15.4%,All Tom Brady red zone rushing plays,BradTo00
Matt Breida,NYG,9,32,1,12.2%,4,8,1,8.9%,1,3,1,4.2%,All Matt Breida red zone rushing plays,BreiMa00
Clyde Edwards-Helaire,KAN,9,22,3,10.7%,5,4,2,10.9%,4,4,2,17.4%,All Clyde Edwards-Helaire red zone rushing plays,EdwaCl00
Darrell Henderson,LAR,9,30,3,18.0%,7,25,3,26.9%,3,8,2,21.4%,All Darrell Henderson red zone rushing plays,HendDa00
Deon Jackson,IND,9,29,1,12.7%,1,3,1,3.1%,1,3,1,6.3%,All Deon Jackson red zone rushing plays,JackDe02
Keaontay Ingram,ARI,8,11,1,11.8%,2,-2,1,5.9%,2,-2,1,12.5%,All Keaontay Ingram red zone rushing plays,IngrKe01
Mac Jones,NWE,8,4,1,12.9%,3,10,1,9.4%,1,3,1,8.3%,All Mac Jones red zone rushing plays,JoneMa05
Dare Ogunbowale,HOU,8,27,1,13.6%,4,15,1,13.3%,2,5,1,15.4%,All Dare Ogunbowale red zone rushing plays,OgunDa00
Deebo Samuel,SFO,8,29,2,7.8%,3,11,1,5.0%,1,-2,0,3.2%,All Deebo Samuel red zone rushing plays,SamuDe00
Zach Wilson,NYJ,8,18,1,13.1%,4,11,1,13.3%,2,0,0,14.3%,All Zach Wilson red zone rushing plays,WilsZa00
Royce Freeman,HOU,7,11,0,11.9%,3,6,0,10.0%,0,0,0,.0%,All Royce Freeman red zone rushing plays,FreeRo00
Jaret Patterson,WAS,7,22,0,9.0%,3,6,0,7.0%,0,0,0,.0%,All Jaret Patterson red zone rushing plays,PattJa01
Brock Purdy,SFO,7,6,1,6.9%,6,0,1,10.0%,5,-2,1,16.1%,All Brock Purdy red zone rushing plays,PurdBr00
Aaron Rodgers,GNB,7,14,1,10.8%,5,-4,1,15.6%,4,-1,1,25.0%,All Aaron Rodgers red zone rushing plays,RodgAa00
Curtis Samuel,WAS,7,26,1,9.0%,1,10,1,2.3%,0,0,0,.0%,All Curtis Samuel red zone rushing plays,SamuCu00
Geno Smith,SEA,7,35,1,10.8%,2,8,1,9.5%,0,0,0,.0%,All Geno Smith red zone rushing plays,SmitGe00
Ryan Tannehill,TEN,7,10,2,14.6%,6,2,2,25.0%,2,2,2,11.8%,All Ryan Tannehill red zone rushing plays,TannRy00
Kirk Cousins,MIN,6,26,2,9.2%,4,-6,1,8.9%,3,-2,1,12.0%,All Kirk Cousins red zone rushing plays,CousKi00
Andy Dalton,NOR,6,7,0,10.9%,2,5,0,7.7%,2,5,0,18.2%,All Andy Dalton red zone rushing plays,DaltAn00
