player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Reggie Gilliam,40951,FB,BUF,14,5,0,4,0,,0,,,0,0,,0,0,0,,42.3,0,0,0,0,5,0,100,5,0,0,0,0,0,0,,,0,-2,0,100,,0,0,0,0,0,0,70.5,62.9,0,8,0,0,12,1,100,12,100,1,8.3,0,8,10,10,8,0.67
Jakob Johnson,32565,FB,NE,16,5,0,19,0,,0,,,0,0,,0,0,0,,36.6,0,0,0,0,4,0,100,4,0,0,0,0,0,0,,,0,,0,,,0,0,,0,0,0,68.3,51.9,0,0,,0,0,0,,0,0,0,,0,0,0,,,
Jack Stoll,42058,TE,PHI,16,5,0,24,0,-6,0,100,,0,0,0,0,0,0,78.7,43.4,0,9,0,0,9,1,100,9,104.2,1,11.1,0,9,15,15,9,1,2,0,100,,0,0,0,0,0,0,74.6,46.8,0,2,0,0,10,1,100,10,79.2,1,10,0,2,0,0,2,0.2
Mitchell Wilcox,47234,TE,CIN,11,5,0,7,0,,0,,,0,0,,0,0,0,,34.7,0,0,0,0,8,0,100,8,0,0,0,0,0,0,,,0,,0,,,0,0,,0,0,0,70.5,48.2,0,0,0,0,6,0,83.3,5,0,0,0,0,0,0,,,0
Shane Zylstra,143786,TE,DET,3,5,0,11,0,,0,,,0,0,,0,0,0,,50.7,0,0,0,0,2,0,100,2,0,0,0,0,0,0,,,0,12,0,100,,0,0,0,0,2,0,74.6,63.5,0,16,0,0,25,2,96,24,118.8,2,8.3,0,30,6,3,15,1.25
Kene Nwangwu,40547,HB,MIN,4,5,0,18,0,-4,0,100,,0,0,0,0,0,0,78.7,71.9,0,-1,0,0,2,1,100,2,79.2,1,50,0,-1,3,3,-1,-0.5,,0,,,0,0,,0,0,0,74.6,65.2,0,0,,0,0,0,,0,0,0,,0,0,0,,,
Tommy Hudson,47412,TE,TEN,4,5,0,31,0,-5,0,100,,0,0,0,0,0,0,78.7,61.1,0,3,33.3,1,3,1,66.7,2,79.2,1,50,0,3,8,8,3,1.5,15,0,0,,0,0,,0,0,0,73.4,75.3,0,0,0,0,3,0,100,3,39.6,1,33.3,0,0,0,,,0
Jody Fortson,94384,TE,KC,6,5,0,16,0,0,0,100,,0,0,0,0,1,0,78.7,91.2,0,2,0,0,4,1,100,4,118.8,1,25,1,2,2,2,2,0.5,4,0,100,,0,0,0,0,0,0,77.3,63.2,0,5,0,0,11,1,90.9,10,87.5,1,10,0,5,1,1,5,0.5
Rodney Smith,26306,HB,CAR,2,5,0,5,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,0,,,0,0,,0,0,0,76.5,74.9,0,0,0,0,2,0,100,2,0,0,0,0,0,0,,,0
Cameron Batson,47669,WR,TEN,3,5,0,31,0,,0,,,0,0,,0,0,0,,49.1,0,0,0,0,3,0,100,3,0,0,0,0,0,0,,,0,20,0,50,,0,0,0,0,1,0,70.5,61.6,0,2,0,0,8,1,100,8,95.8,2,25,1,2,0,0,2,0.25
