Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,Rush_Att,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Solo,Int,Sk,College/Univ,,-9999
3,66,MIN,Kellen Mond,QB,22,2021,0,0,0,0,0,1,2,3,5,0,0,0,0,0,0,0,0,,,,Texas A&M,College Stats,MondKe00
3,67,HOU,Davis Mills,QB,22,2024,0,0,2,15,15,38,593,948,6167,35,25,55,172,2,0,0,0,2,,,Stanford,College Stats,MillDa02
3,68,ATL,Jalen Mayfield,OL,21,2023,0,0,1,7,7,19,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,College Stats,MayfJa00
3,69,CIN,Joseph Ossai,LB,21,2024,0,0,0,6,6,47,0,0,0,0,0,0,0,0,0,0,0,38,,9.5,Texas,College Stats,OssaJo00
3,70,CAR,Brady Christensen,OL,24,2024,0,0,1,13,13,51,0,0,0,0,0,0,0,0,0,0,0,1,,,BYU,College Stats,ChriBr00
3,71,NYG,Aaron Robinson,DB,22,2022,0,0,0,2,2,11,0,0,0,0,0,0,0,0,0,0,0,21,,,Central Florida,College Stats,RobiAa00
3,72,DET,Alim McNeill,DT,21,2024,0,0,3,20,20,61,0,0,0,0,0,0,0,0,0,0,0,66,,11.5,North Carolina St.,College Stats,McNeAl00
3,73,PHI,Milton Williams,DL,22,2024,0,0,1,11,11,67,0,0,0,0,0,0,0,0,0,0,0,66,,11.5,Louisiana Tech,College Stats,WillMi08
3,74,WAS,Benjamin St-Juste,DB,23,2024,0,0,3,12,12,54,0,0,0,0,0,0,0,0,0,0,0,162,1,3.0,Minnesota,College Stats,StJuBe00
3,75,DAL,Osa Odighizuwa,DL,23,2024,0,0,4,27,27,67,0,0,0,0,0,0,0,0,0,0,0,99,,13.5,UCLA,College Stats,OdigOs00
3,76,NOR,Paulson Adebo,CB,22,2024,0,0,4,19,19,52,0,0,0,0,0,0,0,0,0,0,0,209,10,,Stanford,College Stats,AdebPa00
3,77,LAC,Josh Palmer,WR,21,2024,0,0,1,19,19,58,0,0,0,0,0,3,16,0,182,2287,10,2,,,Tennessee,College Stats,PalmJo00
3,78,MIN,Chazz Surratt,LB,24,2024,0,0,0,5,1,41,0,0,0,0,0,0,0,0,0,0,0,25,,,North Carolina,College Stats,SurrCh00
3,79,LVR,Malcolm Koonce,DE,23,2023,0,0,1,7,7,39,0,0,0,0,0,0,0,0,0,0,0,40,,10.0,Buffalo,College Stats,KoonMa00
3,80,LVR,Divine Deablo,DB,23,2024,0,0,2,20,20,54,0,0,0,0,0,0,0,0,1,34,0,166,,2.0,Virginia Tech,College Stats,DeabDi00
3,81,MIA,Hunter Long,TE,23,2024,0,0,0,1,0,37,0,0,0,0,0,0,0,0,8,68,0,3,,,Boston Col.,College Stats,LongHu00
3,82,WAS,Dyami Brown,WR,21,2024,0,0,0,6,6,63,1,2,4,0,0,6,37,0,59,784,4,4,,,North Carolina,College Stats,BrowDy00
3,83,CAR,Tommy Tremble,TE,21,2024,0,0,1,6,6,61,0,0,0,0,0,3,11,1,85,782,9,7,,,Notre Dame,College Stats,TremTo00
3,84,DAL,Chauncey Golston,DL,23,2024,0,0,0,12,12,64,0,0,0,0,0,0,0,0,0,0,0,68,1,9.0,Iowa,College Stats,GolsCh00
3,85,GNB,Amari Rodgers,WR,21,2023,0,0,0,2,1,35,0,0,0,0,0,3,18,0,20,249,1,3,,,Clemson,College Stats,RodgAm00
3,86,MIN,Wyatt Davis,OL,22,2022,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats,DaviWy00
3,87,PIT,Kendrick Green,OL,22,2024,0,0,1,7,5,36,0,0,0,0,0,0,0,0,0,0,0,1,,,Illinois,College Stats,GreeKe02
3,88,SFO,Trey Sermon,RB,22,2024,0,0,0,4,1,42,0,0,0,0,0,134,505,3,22,138,0,1,,,Ohio St.,College Stats,SermTr00
3,89,HOU,Nico Collins,WR,22,2024,0,1,1,25,25,51,0,0,0,0,0,1,7,0,218,3230,18,2,,,Michigan,College Stats,CollNi00
3,90,MIN,Patrick Jones II,DL,22,2024,0,0,0,7,7,57,0,0,0,0,0,0,0,0,0,0,0,61,,12.0,Pittsburgh,College Stats,JonePa00
