Ovr,Name,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
114.4,Olamide Zaccheaus,WAS,2.5,4.4,0,14.5,2,6.7,6.5,0,6.8,1.8,2,1.8,4.4,,6.6,24,23.3,7.1
14.2,Jalin Hyatt,NYG,0,0,0,0,0,1.6,0,,0,7.9,,0,2.8,0,0,1.9,0,0
17.7,Ainias Smith,PHI,,,,,,,,0,1.2,2.6,0,0,,,,,0,13.9
110.5,Dontayvion Wicks,GB,0,11.6,0,24.8,4,1.9,13.8,3.1,0,,0,3.5,7,8.9,3.4,10.3,8.3,9.9
105.3,Christian Watson,GB,10.3,0,8.7,0,,15.8,1.5,7.9,6.7,,19,0.4,8.7,15.4,8.6,2.3,,0
109.5,Keon Coleman,BUF,9.1,0,9.4,8.1,11.9,5.6,16.5,18,3.1,,,,,,7.4,2.7,11.7,6
216,Jakobi Meyers,LV,9.4,6.9,19.2,9.9,13.2,,,17.2,18.5,,8.8,22.1,15.7,13.7,10.9,6.1,17.1,27.3
98.9,Tutu Atwell,LA,0,7.8,13.3,12.2,12.5,,11.1,2.8,2.6,1.6,3.1,6,5.9,7.5,1.6,2.2,0,8.7
20.2,Ryan Flournoy,DAL,,,,,0,2.2,,0,2.3,0,3.9,0,,0,,7.1,1.3,3.4
3.1,Grant DuBose,MIA,0,2.3,,,,,,,,,,,,,0.8,,,
5.1,James Proche II,CLV,,0,0,1.3,0,,,,,,,,,3.8,0,,,0
0,Marquez Callaway,TB,,,,,,,,,0,0,,,,,,,,
56.8,Malik Washington,MIA,,,,1.8,0,,2.9,0,0.9,10.5,4.8,1.3,2.8,0,10.2,5.8,7,8.8
238.9,Ladd McConkey,LAC,14.9,4.6,7.4,17.7,,8.3,9.6,29.1,11.4,7.2,18.3,14.3,20.7,,16.8,14.7,29.4,14.5
3.3,Anthony Gould,IND,0,0,0,,,,,,,,,,,,3.3,,,
52.5,Jordan Whittington,LA,0,4.2,5.8,12.2,15.9,,0,,,0,0,,0,0,0,0,1.6,12.8
26.8,Bub Means,NO,0,0,,0,0,15.5,6.7,4.6,,,,,,,,,,
280,Brian Thomas Jr.,JAX,14.7,11.4,9.8,21.9,23.2,5.7,20.1,15,4.2,3.2,13.6,,18.7,16.6,32.5,28.2,23.9,17.3
187.2,Xavier Worthy,KC,20.8,4.2,5,16.3,11.8,,5.4,13.7,-1,2.1,16.8,9.1,10.4,9.6,19.6,20.5,22.9,0
27,Kevin Austin Jr.,NO,,,,,,,,,,5.6,2.8,,7,1.5,1.8,2.7,3.3,2.3
92.3,Greg Dortch,ARZ,11.1,3.1,6.5,7.8,1.7,6.6,7.5,1.9,0,0.9,,1.5,2.7,1.5,9.6,3.7,4.8,21.4
145.6,Jaylen Waddle,MIA,16.2,8.5,6.6,7.6,8.6,,2.1,8.5,7.6,8.6,5.7,28.4,9.3,18.9,0,,,9
198.5,Marvin Harrison Jr.,ARZ,1.4,29,17.4,15.5,5.6,0,5.1,23.1,5.4,16.4,,7.7,17,8.9,5.2,7.9,15.6,17.3
7.1,Terrace Marshall Jr.,LV,,,,,,,,,,,0,,0,1.6,1.7,0,3.8,0
55.9,Gabe Davis,JAX,9.2,7.3,3.8,0.8,6.8,21.5,2.3,0,,2.9,1.3,,,,,,,
40.3,Robert Woods,HST,0,0,3.8,2,0,,,3.8,6.4,1.1,3.3,1.8,0,,3.2,4.9,4.1,5.9
313.9,Amon-Ra St. Brown,DET,4.3,22.9,20.5,16.5,,13.7,25.2,8.7,18.6,18,38.7,12.2,12.3,10.3,39.3,19,20,13.7
86.3,Noah Brown,WAS,,8.6,5.9,5.6,,9.8,2.6,16.3,11,6.3,1.4,13.1,5.7,,,,,
106.5,Devaughn Vele,DEN,11.9,,,,,11.8,3,5.8,3.1,13.9,10.6,14,2.6,,0,10.1,4.7,15
126.5,Michael Wilson,ARZ,7.5,5.1,14.4,6.8,12.8,10.1,2.5,14.1,0,5.4,,7.4,10.5,13.7,2.9,6.4,6.9,
