Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,AVG
265,Cameron Brate,,,TE33,,,,,,260.7
266,Richard Rodgers,,,TE34,,,,,,263
267,Bruce Ellington,,,WR88,,,,,,234.5
268,Jimmy Garoppolo,LAR,8,QB32,,,,,,286
269,Reggie Bush,,,RB83,,,,,,264.7
270,Marqise,Lee,,WR89,,,,,,240.5
271,Kenny Britt,,,WR90,,,,,,268.3
272,Rueben Randle,,,WR91,,,,,,242
273,Tyler Ervin,,,RB84,,,,,,269
274,Hunter Henry,NE,9,TE35,,,,,,281.7
275,Chris Conley,,,WR92,,,,,,270
276,J.J. Nelson,,,WR93,,,,,,273
277,Robert Turbin,,,RB85,,,,,,273
278,Ka'Deem Carey,,,RB86,,,,,,250
279,Blaine Gabbert,,,QB33,,,,,,274
280,Larry Donnell,,,TE36,,,,,,250.5
281,Jeff Janis,,,WR94,,,,,,251
282,Jace Amaro,,,TE37,,,,,,288
283,Jerell Adams,,,TE38,,,,,,292
284,Alfred Blue,,,RB87,,,,,,253.5
285,Mike Gillislee,,,RB88,,,,,,278.7
286,Teddy Bridgewater,,,QB34,,,,,,257.5
287,Brandon Coleman,,,WR95,,,,,,259
288,Paxton Lynch,,,QB35,,,,,,302
289,Cole Beasley,,,WR96,,,,,,283
290,Tyler Kroft,,,TE39,,,,,,332.5
291,Seth Roberts,,,WR97,,,,,,284.7
292,Alex Collins,,,RB89,,,,,,266.5
293,Andre Johnson,,,WR98,,,,,,269
294,Crockett Gillmore,,,TE40,,,,,,271
295,Tyrell Williams,,,WR99,,,,,,290.3
296,Antonio Andrews,,,RB90,,,,,,275
297,Jared Goff,DET,10,QB36,,,,,,319
298,Jacksonville Jaguars,DST,5,DST18,,,,,,374.5
299,Daniel Lasco,,,RB91,,,,,,280.5
300,DeAndre Smelter,,,WR100,,,,,,242
301,Jared Abbrederis,,,WR101,,,,,,282
302,Eddie Royal,,,WR102,,,,,,282
303,Khiry Robinson,,,RB92,,,,,,284
304,D.J. Foster,,,RB93,,,,,,284.5
305,Roberto Aguayo,,,K16,,,,,,385.5
306,Josh Brown,,,K17,,,,,,385.5
307,Washington Commanders,DST,9,DST19,,,,,,385
308,Darrius Heyward-Bey,,,WR103,,,,,,288
309,James Jones,,,WR104,,,,,,288
310,Robbie Gould,,,K18,,,,,,390.5
311,Tre Mason,,,RB94,,,,,,291
312,Nick Novak,,,K19,,,,,,394.5
313,Matt Bryant,,,K20,,,,,,393.5
314,Mike Thomas,,,WR105,,,,,,296
