player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Zach D'Orazio,10180,WR,AKRON,12,8.5,7,60.8,,0,0,0,7.5,5,0,102,0,70.9,74.7,65.3,,64.3,0,0,3,32,0,0,492,1,62,95.7,471,100,492,70.6,102,1,0,0,658,245,4,10.6,1.4
Pharoh Cooper,10751,WR,S CAROLINA,13,10.7,17,68.3,,0,0,1,6.8,5,0,289,1,78.8,47.4,77.3,,78.2,0,0,1,85,0,0,456,2,69,93.4,426,90.4,412,131.5,101,9,7,32,1136,548,7.9,16.5,2.67
Jordan Leslie,9897,WR,BYU,13,15.4,9,54.5,,0,0,1,11.3,7,0,128,0,58.1,75,70.9,,70.3,0,0,3,83,0,0,493,2,55,94.7,467,4.7,23,87,101,6,94.9,468,779,260,4.7,14.2,1.67
Zach Pascal,12303,WR,DOMINION,12,13.3,5,59,,0,0,1,13.2,9,0,263,0,48.3,74.7,64.8,,65,0,0,5,45,0,0,513,7,59,94,482,16,82,84.7,100,7,84,431,742,178,3,12.6,1.54
Ryan Burbrink,17092,WR,BOWL GREEN,14,10.4,6,64,,0,0,0,7.2,5,1,122,0,71.9,74.9,68.9,,69.2,0.4,2,1,45,0,0,504,0,64,94.2,475,97.2,490,92.6,100,3,2.4,12,753,243,3.8,11.8,1.59
Shaq Washington,38626,WR,CINCINNATI,13,7.8,15,66,,0,0,0,10.8,8,1,138,0,56.1,77,70,,69.8,0.2,1,4,40,0,0,446,1,66,94.4,421,94.6,422,85.5,100,4,4.7,21,761,407,6.2,11.5,1.81
Leonte Carroo,10720,WR,RUTGERS,13,15.4,7,55,,0,0,0,0,0,0,278,0,92.6,74.2,82.7,,80.9,0,0,6,78,0,0,386,0,55,96.6,373,6.7,26,101.5,100,10,93.3,360,1086,408,7.4,19.7,2.91
Jordan Payton,10788,WR,UCLA,13,11.1,17,68.7,,0,0,0,2.9,2,0,324,0,87.4,75.2,73.1,,71.6,0.4,2,2,80,0,0,504,2,68,95.2,480,5.6,28,114.8,99,7,93.8,473,957,442,6.5,14.1,1.99
Titus Davis,10126,WR,C MICHIGAN,10,13.6,9,60.6,,0,0,2,10.4,7,1,134,0,61,75.4,87.6,,89.6,0.3,1,3,53,0,0,291,4,60,95.5,278,18.2,53,120.8,99,13,81.4,237,980,259,4.3,16.3,3.53
River Cracraft,47417,WR,WASH STATE,9,9.9,5,66.7,,0,0,0,2.9,2,0,341,0,87.1,75.1,76.5,61.9,76.2,0.2,1,2,86,0.2,1,420,0,66,95,399,99.5,418,108.6,99,8,0.2,1,771,262,4,11.7,1.93
Trent Taylor,11932,WR,LA TECH,14,10.1,10,64.6,,0,0,1,7.2,5,0,208,2,71.6,29,73.1,,71.5,0,0,6,40,0,0,437,2,64,94.1,411,98.9,432,95.6,99,9,1.1,5,821,352,5.5,12.8,2
John Harris,9748,WR,TEXAS,13,12.2,11,67.3,,0,0,0,12,9,1,311,3,56,23.7,79.7,,77.7,0,0,1,68,0,0,458,2,66,96.1,440,33.6,154,120,98,7,66.4,304,994,292,4.4,15.1,2.26
Antonio Vaughan,39523,WR,DOMINION,12,14.1,9,64.3,,0,0,0,7.4,5,0,263,0,76.1,54.3,72.8,,74.5,0,0,3,74,0,0,488,0,63,94.9,463,64.1,313,125.8,98,12,35.5,173,1019,410,6.5,16.2,2.2
Ty Montgomery,9527,WR,STANFORD,11,6.5,16,62.2,,0,0,0,7.6,5,0,300,1,66.6,49.2,78.6,,74.6,0.3,1,5,44,0,0,292,0,61,95.9,280,21.6,63,68.6,98,3,77.4,226,604,437,7.2,9.9,2.16
Eugene Lewis,47434,WR,PENN STATE,13,12.1,7,56.1,,0,0,0,15.4,10,0,266,0,44.4,74.5,64.3,,64,0,0,3,79,0,0,448,0,55,96.2,431,16.7,75,74.8,98,2,83.3,373,751,305,5.5,13.7,1.74
