Team,Season,Depth Chart,Name
NE,2018-19,RB1,rex burkhead
NE,2018-19,RB2,jeremy hill
NE,2018-19,RB3,james develin
NE,2018-19,RB4,sony michel
NO,2018-19,RB1,mark ingram
NO,2018-19,RB2,alvin kamara
NO,2018-19,RB3,jonathan williams
NO,2018-19,RB4,boston scott
NYG,2018-19,RB4,jhurell pressley
NYJ,2018-19,RB1,isaiah crowell
NYJ,2018-19,RB2,bilal powell
NYJ,2018-19,RB3,thomas rawls
NYJ,2018-19,RB4,trenton cannon
PHI,2018-19,RB1,jay ajayi
PHI,2018-19,RB2,darren sproles
PHI,2018-19,RB3,corey clement
PHI,2018-19,RB4,matt jones
PIT,2018-19,RB4,jaylen samuels
SEA,2018-19,RB3,daniel marx
SEA,2018-19,RB4,justin stockton
SF,2018-19,RB3,ja'quan gardner
SF,2018-19,RB4,joseph williams
TEN,2018-19,RB1,derrick henry
TEN,2018-19,RB2,dion lewis
TEN,2018-19,RB3,david fluellen
TEN,2018-19,RB4,akrum wadley
WAS,2018-19,RB1,chris thompson
WAS,2018-19,RB2,rob kelley
WAS,2018-19,RB3,samaje perine
WAS,2018-19,RB4,kapri bibbs
ARZ,2017-18,RB1,david johnson
ARZ,2017-18,RB2,kerwynn williams
ARZ,2017-18,RB3,elijhaa penny
ARZ,2017-18,RB4,chris johnson
ATL,2017-18,RB1,devonta freeman
ATL,2017-18,RB2,tevin coleman
ATL,2017-18,RB3,terron ward
ATL,2017-18,RB4,brian hill
BAL,2017-18,RB1,terrance west
BAL,2017-18,RB2,danny woodhead
BAL,2017-18,RB3,javorius allen
BAL,2017-18,RB4,javorius allen
BUF,2017-18,RB1,lesean mccoy
BUF,2017-18,RB2,jonathan williams
BUF,2017-18,RB3,joe banyard
BUF,2017-18,RB4,jordan johnson
CAR,2017-18,RB1,jonathan stewart
CAR,2017-18,RB2,christian mccaffrey
CAR,2017-18,RB3,fozzy whittaker
CAR,2017-18,RB4,cameron artis-payne
CHI,2017-18,RB1,jordan howard
CHI,2017-18,RB2,jeremy langford
CHI,2017-18,RB3,tarik cohen
CHI,2017-18,RB4,ka'deem carey
CIN,2017-18,RB1,jeremy hill
CIN,2017-18,RB2,giovani bernard
CIN,2017-18,RB3,joe mixon
CIN,2017-18,RB4,tra carson
CLE,2017-18,RB1,isaiah crowell
CLE,2017-18,RB2,duke johnson
CLE,2017-18,RB3,matt dayes
CLE,2017-18,RB4,terrence magee
DAL,2017-18,RB1,darren mcfadden
DAL,2017-18,RB2,alfred morris
DAL,2017-18,RB3,ronnie hillman
DAL,2017-18,RB4,ezekiel elliott
DEN,2017-18,RB1,cj anderson
DEN,2017-18,RB2,jamaal charles
DEN,2017-18,RB3,devontae booker
DEN,2017-18,RB4,stevan ridley
DET,2017-18,RB1,ameer abdullah
DET,2017-18,RB2,zach zenner
DET,2017-18,RB3,matt asiata
GB,2017-18,RB1,ty montgomery
GB,2017-18,RB2,jamaal williams
GB,2017-18,RB3,aaron jones
GB,2017-18,RB4,devante mays
HOU,2017-18,RB4,jordan todman
IND,2017-18,RB1,frank gore
IND,2017-18,RB2,robert turbin
IND,2017-18,RB3,marlon mack
IND,2017-18,RB4,josh ferguson
JAX,2017-18,RB4,dujuan harris
KC,2017-18,RB1,kareem hunt
KC,2017-18,RB2,charcandrick west
KC,2017-18,RB3,cj spiller
KC,2017-18,RB4,devine redding
LAR,2017-18,RB1,todd gurley
LAR,2017-18,RB2,malcolm brown
LAR,2017-18,RB3,aaron green
LAR,2017-18,RB4,justin davis
LV,2017-18,RB1,marshawn lynch
LV,2017-18,RB2,jalen richard
LV,2017-18,RB3,deandre washington
LV,2017-18,RB4,elijah hood
MIN,2017-18,RB1,dalvin cook
MIN,2017-18,RB2,jerick mckinnon
MIN,2017-18,RB3,bronson hill
MIN,2017-18,RB4,terrell newby
NE,2017-18,RB1,james white
NE,2017-18,RB2,brandon bolden
NE,2017-18,RB3,mike gillislee
NE,2017-18,RB4,dj foster
NO,2017-18,RB1,mark ingram
NO,2017-18,RB2,adrian peterson
NO,2017-18,RB3,alvin kamara
NO,2017-18,RB4,travaris cadet
PHI,2017-18,RB1,legarrette blount
PHI,2017-18,RB2,darren sproles
PHI,2017-18,RB3,wendell smallwood
PHI,2017-18,RB4,donnel pumphrey
PIT,2017-18,RB1,le'veon bell
PIT,2017-18,RB2,fitzgerald toussaint
PIT,2017-18,RB3,knile davis
PIT,2017-18,RB4,terrell watson
SEA,2017-18,RB1,eddie lacy
SEA,2017-18,RB2,mike davis
SEA,2017-18,RB3,chris carson
SEA,2017-18,RB4,jd mckissic
SF,2017-18,RB1,carlos hyde
SF,2017-18,RB2,tim hightower
SF,2017-18,RB3,joseph williams
SF,2017-18,RB4,kapri bibbs
TEN,2017-18,RB4,darrius sims
WAS,2017-18,RB1,rob kelley
WAS,2017-18,RB2,chris thompson
WAS,2017-18,RB3,samaje perine
WAS,2017-18,RB4,matt jones
ATL,2016-17,RB1,devonta freeman
ATL,2016-17,RB2,tevin coleman
ATL,2016-17,RB3,terron ward
ATL,2016-17,RB4,brandon wilds
BAL,2016-17,RB1,justin forsett
BAL,2016-17,RB2,javorius allen
BAL,2016-17,RB3,terrance west
BAL,2016-17,RB4,kenneth dixon
CAR,2016-17,RB1,jonathan stewart
CAR,2016-17,RB2,fozzy whittaker
CAR,2016-17,RB3,cameron artis-payne
CAR,2016-17,RB4,brandon wegher
CHI,2016-17,RB1,jeremy langford
CHI,2016-17,RB2,ka'deem carey
CHI,2016-17,RB3,jacquizz rodgers
CHI,2016-17,RB4,jordan howard
CLE,2016-17,RB1,isaiah crowell
CLE,2016-17,RB2,duke johnson
CLE,2016-17,RB3,raheem mostert
CLE,2016-17,RB4,terrell watson
DAL,2016-17,RB1,ezekiel elliott
DAL,2016-17,RB2,darren mcfadden
DAL,2016-17,RB3,alfred morris
DAL,2016-17,RB4,darius jackson
DEN,2016-17,RB1,cj anderson
DEN,2016-17,RB2,devontae booker
DEN,2016-17,RB3,ronnie hillman
DEN,2016-17,RB4,kapri bibbs
DET,2016-17,RB1,ameer abdullah
DET,2016-17,RB2,theo riddick
DET,2016-17,RB3,zach zenner
DET,2016-17,RB4,george winn
GB,2016-17,RB1,eddie lacy
GB,2016-17,RB2,james starks
GB,2016-17,RB3,brandon burks
GB,2016-17,RB4,brandon ross
IND,2016-17,RB1,frank gore
IND,2016-17,RB2,robert turbin
IND,2016-17,RB3,jordan todman
IND,2016-17,RB4,josh ferguson
JAX,2016-17,RB1,chris ivory
JAX,2016-17,RB2,tj yeldon
JAX,2016-17,RB3,denard robinson
JAX,2016-17,RB4,corey grant
KC,2016-17,RB1,jamaal charles
KC,2016-17,RB2,charcandrick west
KC,2016-17,RB3,spencer ware
KC,2016-17,RB4,knile davis
LAC,2016-17,RB1,melvin gordon
LAC,2016-17,RB2,danny woodhead
LAC,2016-17,RB3,kenneth farrow
LAC,2016-17,RB4,gus johnson
LV,2016-17,RB1,latavius murray
LV,2016-17,RB2,taiwan jones
LV,2016-17,RB3,deandre washington
LV,2016-17,RB4,jalen richard
MIN,2016-17,RB1,adrian peterson
MIN,2016-17,RB2,jerick mckinnon
MIN,2016-17,RB3,matt asiata
MIN,2016-17,RB4,cj ham
NE,2016-17,RB1,james white
NE,2016-17,RB2,james develin
NE,2016-17,RB3,tyler gaffney
NE,2016-17,RB4,joey iosefa
NO,2016-17,RB1,mark ingram
NO,2016-17,RB2,tim hightower
NO,2016-17,RB3,cj spiller
NO,2016-17,RB4,travaris cadet
NYJ,2016-17,RB1,matt forte
NYJ,2016-17,RB2,bilal powell
NYJ,2016-17,RB3,khiry robinson
NYJ,2016-17,RB4,antone smith
SEA,2016-17,RB1,christine michael
SEA,2016-17,RB2,alex collins
SEA,2016-17,RB3,troymaine pope
SEA,2016-17,RB4,cj prosise
SF,2016-17,RB1,carlos hyde
SF,2016-17,RB2,shaun draughn
SF,2016-17,RB3,mike davis
SF,2016-17,RB4,dujuan harris
TB,2016-17,RB1,doug martin
TB,2016-17,RB2,charles sims
TB,2016-17,RB3,mike james
TB,2016-17,RB4,peyton barber
WAS,2016-17,RB1,matt jones
WAS,2016-17,RB2,chris thompson
WAS,2016-17,RB3,mack brown
WAS,2016-17,RB4,rob kelley
ARZ,2015-16,RB3,marion grice
ARZ,2015-16,RB4,paul lasike
ATL,2015-16,RB1,devonta freeman
ATL,2015-16,RB2,tevin coleman
ATL,2015-16,RB3,antone smith
ATL,2015-16,RB4,terron ward
BAL,2015-16,RB1,justin forsett
BAL,2015-16,RB2,lorenzo taliaferro
BAL,2015-16,RB3,javorius allen
BAL,2015-16,RB4,fitzgerald toussaint
BUF,2015-16,RB1,lesean mccoy
BUF,2015-16,RB2,anthony dixon
BUF,2015-16,RB3,bryce brown
BUF,2015-16,RB4,karlos williams
CAR,2015-16,RB1,jonathan stewart
CAR,2015-16,RB2,fozzy whittaker
CAR,2015-16,RB3,jordan todman
CAR,2015-16,RB4,cameron artis-payne
CHI,2015-16,RB1,matt forte
CHI,2015-16,RB2,jacquizz rodgers
CHI,2015-16,RB3,jeremy langford
CHI,2015-16,RB4,ka'deem carey
CLE,2015-16,RB1,isaiah crowell
CLE,2015-16,RB2,terrance west
CLE,2015-16,RB3,shaun draughn
CLE,2015-16,RB4,duke johnson
DAL,2015-16,RB1,darren mcfadden
DAL,2015-16,RB2,joseph randle
DAL,2015-16,RB3,lance dunbar
DAL,2015-16,RB4,gus johnson
DEN,2015-16,RB1,cj anderson
DEN,2015-16,RB2,montee ball
DEN,2015-16,RB3,ronnie hillman
DEN,2015-16,RB4,juwan thompson
DET,2015-16,RB1,joique bell
DET,2015-16,RB2,theo riddick
DET,2015-16,RB3,ameer abdullah
DET,2015-16,RB4,zach zenner
GB,2015-16,RB1,eddie lacy
GB,2015-16,RB2,james starks
GB,2015-16,RB3,rajion neal
GB,2015-16,RB4,alonzo harris
HOU,2015-16,RB1,alfred blue
HOU,2015-16,RB2,jonathan grimes
HOU,2015-16,RB3,chris polk
HOU,2015-16,RB4,kenny hilliard
KC,2015-16,RB1,jamaal charles
KC,2015-16,RB2,knile davis
KC,2015-16,RB3,charcandrick west
KC,2015-16,RB4,darrin reaves
LAC,2015-16,RB1,melvin gordon
LAC,2015-16,RB2,danny woodhead
LAC,2015-16,RB3,branden oliver
LAC,2015-16,RB4,donald brown
LAR,2015-16,RB1,tre mason
LAR,2015-16,RB2,todd gurley
LAR,2015-16,RB3,benny cunningham
LAR,2015-16,RB4,isaiah pead
LV,2015-16,RB1,latavius murray
LV,2015-16,RB2,roy helu
LV,2015-16,RB3,taiwan jones
LV,2015-16,RB4,michael dyer
MIN,2015-16,RB1,adrian peterson
MIN,2015-16,RB2,jerick mckinnon
MIN,2015-16,RB3,matt asiata
MIN,2015-16,RB4,dominique williams
NE,2015-16,RB1,legarrette blount
NE,2015-16,RB2,brandon bolden
NE,2015-16,RB3,travaris cadet
NE,2015-16,RB4,tony creecy
NO,2015-16,RB1,mark ingram
NO,2015-16,RB2,khiry robinson
NO,2015-16,RB3,cj spiller
NO,2015-16,RB4,tim hightower
NYG,2015-16,RB1,rashad jennings
NYG,2015-16,RB2,andre williams
NYG,2015-16,RB3,shane vereen
NYG,2015-16,RB4,akeem hunt
NYJ,2015-16,RB1,chris ivory
NYJ,2015-16,RB2,bilal powell
NYJ,2015-16,RB3,zac stacy
NYJ,2015-16,RB4,daryl richardson
SEA,2015-16,RB1,marshawn lynch
SEA,2015-16,RB2,robert turbin
SEA,2015-16,RB3,christine michael
SEA,2015-16,RB4,rod smith
SF,2015-16,RB1,carlos hyde
SF,2015-16,RB2,reggie bush
SF,2015-16,RB3,kendall hunter
SF,2015-16,RB4,jarryd hayne
TB,2015-16,RB1,doug martin
TB,2015-16,RB2,charles sims
TB,2015-16,RB3,bobby rainey
TB,2015-16,RB4,mike james
TEN,2015-16,RB1,bishop sankey
TEN,2015-16,RB2,dexter mccluster
TEN,2015-16,RB3,antonio andrews
TEN,2015-16,RB4,david cobb
WAS,2015-16,RB1,alfred morris
WAS,2015-16,RB2,matt jones
WAS,2015-16,RB3,chris thompson
WAS,2015-16,RB4,trey williams
ARZ,2014-15,RB1,andre ellington
ARZ,2014-15,RB2,stepfan taylor
ARZ,2014-15,RB3,jonathan dwyer
ARZ,2014-15,RB4,robert hughes
ATL,2014-15,RB1,steven jackson
ATL,2014-15,RB2,jacquizz rodgers
ATL,2014-15,RB3,antone smith
ATL,2014-15,RB4,devonta freeman
BAL,2014-15,RB1,bernard pierce
BAL,2014-15,RB2,justin forsett
BAL,2014-15,RB3,lorenzo taliaferro
BUF,2014-15,RB1,cj spiller
BUF,2014-15,RB2,fred jackson
BUF,2014-15,RB3,anthony dixon
BUF,2014-15,RB4,bryce brown
CAR,2014-15,RB1,deangelo williams
CAR,2014-15,RB2,jonathan stewart
CAR,2014-15,RB3,fozzy whittaker
CHI,2014-15,RB1,matt forte
CHI,2014-15,RB2,shaun draughn
CHI,2014-15,RB3,ka'deem carey
CHI,2014-15,RB4,senorise perry
CIN,2014-15,RB1,giovani bernard
CIN,2014-15,RB2,jeremy hill
CIN,2014-15,RB3,cedric peerman
CIN,2014-15,RB4,rex burkhead
CLE,2014-15,RB1,ben tate
CLE,2014-15,RB2,terrance west
CLE,2014-15,RB3,isaiah crowell
CLE,2014-15,RB4,glenn winston
DAL,2014-15,RB1,demarco murray
DAL,2014-15,RB2,lance dunbar
DAL,2014-15,RB3,joseph randle
DEN,2014-15,RB1,montee ball
DEN,2014-15,RB2,ronnie hillman
DEN,2014-15,RB3,cj anderson
DEN,2014-15,RB4,juwan thompson
DET,2014-15,RB1,reggie bush
DET,2014-15,RB2,joique bell
DET,2014-15,RB3,theo riddick
GB,2014-15,RB1,eddie lacy
GB,2014-15,RB2,james starks
GB,2014-15,RB3,dujuan harris
HOU,2014-15,RB1,arian foster
HOU,2014-15,RB2,jonathan grimes
HOU,2014-15,RB3,alfred blue
HOU,2014-15,RB4,ronnie brown
IND,2014-15,RB1,trent richardson
IND,2014-15,RB2,ahmad bradshaw
IND,2014-15,RB3,dan herron
IND,2014-15,RB4,zurlon tipton
JAX,2014-15,RB1,toby gerhart
JAX,2014-15,RB2,jordan todman
JAX,2014-15,RB3,denard robinson
JAX,2014-15,RB4,storm johnson
KC,2014-15,RB1,jamaal charles
KC,2014-15,RB2,knile davis
KC,2014-15,RB3,de'anthony thomas
KC,2014-15,RB4,cyrus gray
LAC,2014-15,RB1,ryan mathews
LAC,2014-15,RB2,danny woodhead
LAC,2014-15,RB3,donald brown
LAC,2014-15,RB4,branden oliver
LAR,2014-15,RB1,zac stacy
LAR,2014-15,RB2,benny cunningham
LAR,2014-15,RB3,tre mason
LAR,2014-15,RB4,chase reynolds
LV,2014-15,RB1,maurice jones-drew
LV,2014-15,RB2,darren mcfadden
LV,2014-15,RB3,latavius murray
MIA,2014-15,RB1,lamar miller
MIA,2014-15,RB2,knowshon moreno
MIA,2014-15,RB3,damien williams
MIA,2014-15,RB4,orleans darkwa
MIN,2014-15,RB1,adrian peterson
MIN,2014-15,RB2,matt asiata
MIN,2014-15,RB3,jerick mckinnon
NE,2014-15,RB1,stevan ridley
NE,2014-15,RB2,brandon bolden
NE,2014-15,RB3,james develin
NO,2014-15,RB1,mark ingram
NO,2014-15,RB2,khiry robinson
NO,2014-15,RB3,pierre thomas
NO,2014-15,RB4,travaris cadet
NYG,2014-15,RB1,rashad jennings
NYG,2014-15,RB2,peyton hillis
NYG,2014-15,RB3,andre williams
NYJ,2014-15,RB1,chris ivory
NYJ,2014-15,RB2,chris johnson
NYJ,2014-15,RB3,bilal powell
PHI,2014-15,RB1,lesean mccoy
PHI,2014-15,RB2,darren sproles
PHI,2014-15,RB3,chris polk
PIT,2014-15,RB1,le'veon bell
PIT,2014-15,RB2,legarrette blount
PIT,2014-15,RB3,dri archer
SEA,2014-15,RB1,marshawn lynch
SEA,2014-15,RB2,robert turbin
SEA,2014-15,RB3,christine michael
SF,2014-15,RB1,frank gore
SF,2014-15,RB2,carlos hyde
SF,2014-15,RB3,lamichael james
TB,2014-15,RB1,doug martin
TB,2014-15,RB2,bobby rainey
TB,2014-15,RB3,charles sims
TB,2014-15,RB4,mike james
TEN,2014-15,RB1,shonn greene
TEN,2014-15,RB2,dexter mccluster
TEN,2014-15,RB3,bishop sankey
TEN,2014-15,RB4,leon washington
WAS,2014-15,RB1,alfred morris
WAS,2014-15,RB2,roy helu
WAS,2014-15,RB3,silas redd
