,,Inside 20,,,,,,Inside 10,,,,,,
Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link
Michael Hoomanawanui,NOR,6,4,66.67%,31,3,8.60%,2,1,50.00%,1,1,6.70%,All Michael Hoomanawanui red zone receiving plays
Dontrelle Inman,SDG,6,4,66.67%,22,3,8.60%,4,3,75.00%,10,3,15.40%,All Dontrelle Inman red zone receiving plays
Fred Jackson,SEA,6,5,83.33%,27,2,11.50%,2,2,100.00%,10,2,8.30%,All Fred Jackson red zone receiving plays
Marcedes Lewis,JAX,6,0,0.00%,0,0,6.70%,3,0,0.00%,0,0,5.90%,All Marcedes Lewis red zone receiving plays
Zach Miller,CHI,6,4,66.67%,23,3,8.30%,3,3,100.00%,14,3,7.90%,All Zach Miller red zone receiving plays
Jordan Norwood,DEN,6,5,83.33%,21,0,8.70%,3,3,100.00%,14,0,10.30%,All Jordan Norwood red zone receiving plays
Mychal Rivera,OAK,6,2,33.33%,20,1,10.70%,1,0,0.00%,0,0,4.50%,All Mychal Rivera red zone receiving plays
Jeremy Ross,BAL,6,3,50.00%,38,0,8.00%,4,1,25.00%,8,0,12.10%,All Jeremy Ross red zone receiving plays
Torrey Smith,SFO,6,1,16.67%,16,1,9.20%,1,0,0.00%,0,0,3.80%,All Torrey Smith red zone receiving plays
Sammy Watkins,BUF,6,3,50.00%,10,1,15.40%,4,2,50.00%,6,1,21.10%,All Sammy Watkins red zone receiving plays
James White,NWE,6,5,83.33%,29,2,7.20%,4,4,100.00%,17,2,10.00%,All James White red zone receiving plays
Myles White,NYG,6,1,16.67%,3,0,7.40%,1,0,0.00%,0,0,2.60%,All Myles White red zone receiving plays
Albert Wilson,KAN,6,2,33.33%,7,0,10.30%,0,0,,0,0,0.00%,All Albert Wilson red zone receiving plays
Ameer Abdullah,DET,5,4,80.00%,34,1,7.10%,1,1,100.00%,2,0,2.70%,All Ameer Abdullah red zone receiving plays
Cameron Brate,TAM,5,3,60.00%,26,1,6.90%,3,1,33.33%,8,1,7.10%,All Cameron Brate red zone receiving plays
Brent Celek,PHI,5,5,100.00%,36,3,9.60%,2,2,100.00%,12,2,8.70%,All Brent Celek red zone receiving plays
Garrett Celek,SFO,5,4,80.00%,20,3,7.70%,3,2,66.67%,6,2,11.50%,All Garrett Celek red zone receiving plays
Shaun Draughn,2TM,5,3,60.00%,2,0,,3,2,66.67%,2,0,,All Shaun Draughn red zone receiving plays
Donteea Dye,TAM,5,2,40.00%,11,1,6.90%,4,2,50.00%,11,1,9.50%,All Donteea Dye red zone receiving plays
Justin Forsett,BAL,5,4,80.00%,16,0,6.70%,2,2,100.00%,7,0,6.10%,All Justin Forsett red zone receiving plays
Taylor Gabriel,CLE,5,2,40.00%,17,0,5.80%,2,0,0.00%,0,0,5.00%,All Taylor Gabriel red zone receiving plays
Ronnie Hillman,DEN,5,2,40.00%,0,0,7.20%,1,0,0.00%,0,0,3.40%,All Ronnie Hillman red zone receiving plays
Chris Hogan,BUF,5,4,80.00%,20,1,12.80%,2,1,50.00%,2,1,10.50%,All Chris Hogan red zone receiving plays
Josh Huff,PHI,5,2,40.00%,11,1,9.60%,3,1,33.33%,2,1,13.00%,All Josh Huff red zone receiving plays
Mark Ingram,NOR,5,4,80.00%,21,0,7.10%,1,0,0.00%,0,0,3.30%,All Mark Ingram red zone receiving plays
Chris Ivory,NYJ,5,5,100.00%,46,1,6.60%,2,2,100.00%,18,1,5.30%,All Chris Ivory red zone receiving plays
Marqise Lee,JAX,5,3,60.00%,24,1,5.60%,2,1,50.00%,2,1,3.90%,All Marqise Lee red zone receiving plays
Dion Lewis,NWE,5,3,60.00%,34,2,6.00%,2,1,50.00%,10,1,5.00%,All Dion Lewis red zone receiving plays
Doug Martin,TAM,5,3,60.00%,22,1,6.90%,3,2,66.67%,12,1,7.10%,All Doug Martin red zone receiving plays
Lance Moore,DET,5,4,80.00%,23,2,7.10%,2,1,50.00%,4,1,5.40%,All Lance Moore red zone receiving plays
Darren Sproles,PHI,5,2,40.00%,12,0,9.60%,1,0,0.00%,0,0,4.30%,All Darren Sproles red zone receiving plays
