,,Inside 20,,,,,,Inside 10,,,,,,
Robert Tonyan,GNB,4,3,75.00%,12,0,3.50%,2,2,100.00%,7,0,4.00%,All Robert Tonyan red zone receiving plays
Tommy Tremble,CAR,4,4,100.00%,10,1,8.00%,4,4,100.00%,10,1,15.40%,All Tommy Tremble red zone receiving plays
Sammy Watkins,BAL,4,3,75.00%,16,1,5.50%,1,1,100.00%,6,1,2.90%,All Sammy Watkins red zone receiving plays
Preston Williams,MIA,4,0,0.00%,0,0,5.40%,3,0,0.00%,0,0,7.90%,All Preston Williams red zone receiving plays
Jamal Agnew,JAX,3,2,66.67%,17,1,5.70%,2,1,50.00%,9,1,6.90%,All Jamal Agnew red zone receiving plays
Salvon Ahmed,MIA,3,1,33.33%,9,0,4.10%,0,0,,0,0,0.00%,All Salvon Ahmed red zone receiving plays
Danny Amendola,HOU,3,2,66.67%,15,2,6.40%,2,2,100.00%,15,2,8.30%,All Danny Amendola red zone receiving plays
Saquon Barkley,NYG,3,1,33.33%,18,1,5.40%,1,0,0.00%,0,0,3.60%,All Saquon Barkley red zone receiving plays
Matt Breida,BUF,3,3,100.00%,24,1,2.60%,0,0,,0,0,0.00%,All Matt Breida red zone receiving plays
Antonio Brown,TAM,3,2,66.67%,7,1,2.60%,1,1,100.00%,4,1,1.70%,All Antonio Brown red zone receiving plays
Dyami Brown,WAS,3,2,66.67%,13,0,5.80%,0,0,,0,0,0.00%,All Dyami Brown red zone receiving plays
Rex Burkhead,HOU,3,2,66.67%,10,0,6.40%,2,1,50.00%,0,0,8.30%,All Rex Burkhead red zone receiving plays
Quintez Cephus,DET,3,3,100.00%,16,2,5.00%,2,2,100.00%,7,2,8.00%,All Quintez Cephus red zone receiving plays
Pharoh Cooper,NYG,3,0,0.00%,0,0,5.40%,2,0,0.00%,0,0,7.10%,All Pharoh Cooper red zone receiving plays
Will Dissly,SEA,3,2,66.67%,3,1,5.80%,1,1,100.00%,1,1,5.30%,All Will Dissly red zone receiving plays
Eric Ebron,PIT,3,1,33.33%,5,1,3.20%,2,1,50.00%,5,1,4.50%,All Eric Ebron red zone receiving plays
Clyde Edwards-Helaire,KAN,3,2,66.67%,11,2,3.20%,2,2,100.00%,11,2,4.30%,All Clyde Edwards-Helaire red zone receiving plays
Isaiah Ford,MIA,3,2,66.67%,12,2,4.10%,2,2,100.00%,12,2,5.30%,All Isaiah Ford red zone receiving plays
Marquise Goodwin,CHI,3,1,33.33%,9,0,5.30%,2,0,0.00%,0,0,7.70%,All Marquise Goodwin red zone receiving plays
Josh Gordon,KAN,3,1,33.33%,1,1,3.20%,2,1,50.00%,1,1,4.30%,All Josh Gordon red zone receiving plays
Travis Homer,SEA,3,2,66.67%,9,0,5.80%,1,1,100.00%,3,0,5.30%,All Travis Homer red zone receiving plays
Jesper Horsted,CHI,3,2,66.67%,21,2,5.30%,2,1,50.00%,2,1,7.70%,All Jesper Horsted red zone receiving plays
Chuba Hubbard,CAR,3,1,33.33%,2,1,6.00%,2,1,50.00%,2,1,7.70%,All Chuba Hubbard red zone receiving plays
Justin Jackson,LAC,3,3,100.00%,10,0,3.10%,1,1,100.00%,0,0,2.00%,All Justin Jackson red zone receiving plays
Jerry Jeudy,DEN,3,2,66.67%,12,0,5.20%,1,0,0.00%,0,0,3.10%,All Jerry Jeudy red zone receiving plays
Marcus Johnson,TEN,3,1,33.33%,10,0,3.80%,0,0,,0,0,0.00%,All Marcus Johnson red zone receiving plays
Terrace Marshall,CAR,3,2,66.67%,12,0,6.00%,2,1,50.00%,5,0,7.70%,All Terrace Marshall red zone receiving plays
J.D. McKissic,WAS,3,3,100.00%,13,1,5.80%,2,2,100.00%,10,1,8.70%,All J.D. McKissic red zone receiving plays
Latavius Murray,BAL,3,1,33.33%,3,0,4.10%,1,0,0.00%,0,0,2.90%,All Latavius Murray red zone receiving plays
Dare Ogunbowale,JAX,3,0,0.00%,0,0,5.70%,2,0,0.00%,0,0,6.90%,All Dare Ogunbowale red zone receiving plays
Donovan Peoples-Jones,CLE,3,1,33.33%,11,1,5.40%,2,0,0.00%,0,0,7.10%,All Donovan Peoples-Jones red zone receiving plays
Breshad Perriman,TAM,3,2,66.67%,5,0,2.60%,1,0,0.00%,0,0,1.70%,All Breshad Perriman red zone receiving plays
Demarcus Robinson,KAN,3,2,66.67%,11,0,3.20%,1,1,100.00%,2,0,2.10%,All Demarcus Robinson red zone receiving plays
Miles Sanders,PHI,3,3,100.00%,9,0,5.20%,0,0,,0,0,0.00%,All Miles Sanders red zone receiving plays
Mohamed Sanu,SFO,3,3,100.00%,21,0,5.30%,0,0,,0,0,0.00%,All Mohamed Sanu red zone receiving plays
Ian Thomas,CAR,3,2,66.67%,0,0,6.00%,0,0,,0,0,0.00%,All Ian Thomas red zone receiving plays
Ty'Son Williams,BAL,3,2,66.67%,15,0,4.10%,0,0,,0,0,0.00%,All Ty'Son Williams red zone receiving plays
Jeff Wilson,SFO,3,2,66.67%,1,0,5.30%,2,1,50.00%,3,0,6.70%,All Jeff Wilson red zone receiving plays
Juwann Winfree,GNB,3,2,66.67%,6,0,2.60%,1,0,0.00%,0,0,2.00%,All Juwann Winfree red zone receiving plays
Antony Auclair,HOU,2,2,100.00%,17,1,4.30%,0,0,,0,0,0.00%,All Antony Auclair red zone receiving plays
Tavon Austin,JAX,2,2,100.00%,12,1,3.80%,1,1,100.00%,7,1,3.40%,All Tavon Austin red zone receiving plays
Peyton Barber,LVR,2,2,100.00%,14,0,2.70%,0,0,,0,0,0.00%,All Peyton Barber red zone receiving plays
John Bates,WAS,2,1,50.00%,13,1,3.80%,0,0,,0,0,0.00%,All John Bates red zone receiving plays
Cameron Batson,TEN,2,1,50.00%,2,1,2.60%,2,1,50.00%,2,1,5.90%,All Cameron Batson red zone receiving plays
Kendall Blanton,LAR,2,1,50.00%,2,0,1.80%,0,0,,0,0,0.00%,All Kendall Blanton red zone receiving plays
Devontae Booker,NYG,2,2,100.00%,10,1,3.60%,2,2,100.00%,10,1,7.10%,All Devontae Booker red zone receiving plays
Noah Brown,DAL,2,2,100.00%,14,0,2.00%,0,0,,0,0,0.00%,All Noah Brown red zone receiving plays
DeAndre Carter,WAS,2,1,50.00%,4,1,3.80%,1,1,100.00%,4,1,4.30%,All DeAndre Carter red zone receiving plays
Michael Carter,NYJ,2,2,100.00%,6,0,3.30%,1,1,100.00%,2,0,4.30%,All Michael Carter red zone receiving plays
Tyler Davis,GNB,2,1,50.00%,0,0,1.80%,0,0,,0,0,0.00%,All Tyler Davis red zone receiving plays
Ashton Dulin,IND,2,1,50.00%,2,1,3.20%,2,1,50.00%,2,1,5.60%,All Ashton Dulin red zone receiving plays
D'Wayne Eskridge,SEA,2,1,50.00%,7,1,3.80%,1,1,100.00%,7,1,5.30%,All D'Wayne Eskridge red zone receiving plays
Dez Fitzpatrick,TEN,2,2,100.00%,18,1,2.60%,1,1,100.00%,0,0,2.90%,All Dez Fitzpatrick red zone receiving plays
D'Onta Foreman,TEN,2,2,100.00%,26,0,2.60%,0,0,,0,0,0.00%,All D'Onta Foreman red zone receiving plays
Jody Fortson,KAN,2,2,100.00%,4,2,2.10%,2,2,100.00%,4,2,4.30%,All Jody Fortson red zone receiving plays
Derrick Gore,KAN,2,1,50.00%,3,0,2.10%,0,0,,0,0,0.00%,All Derrick Gore red zone receiving plays
Jakeem Grant,2TM,2,2,100.00%,8,1,,1,1,100.00%,8,1,,All Jakeem Grant red zone receiving plays
Damien Harris,NWE,2,1,50.00%,3,0,2.90%,0,0,,0,0,0.00%,All Damien Harris red zone receiving plays
Derrick Henry,TEN,2,2,100.00%,7,0,2.60%,0,0,,0,0,0.00%,All Derrick Henry red zone receiving plays
Khalil Herbert,CHI,2,2,100.00%,-4,0,3.50%,1,1,100.00%,2,0,3.80%,All Khalil Herbert red zone receiving plays
Kendall Hinton,DEN,2,1,50.00%,2,1,3.40%,2,1,50.00%,2,1,6.30%,All Kendall Hinton red zone receiving plays
Chris Hogan,NOR,2,2,100.00%,19,1,3.20%,1,1,100.00%,10,1,3.80%,All Chris Hogan red zone receiving plays
Cody Hollister,TEN,2,1,50.00%,8,0,2.60%,1,0,0.00%,0,0,2.90%,All Cody Hollister red zone receiving plays
O.J. Howard,TAM,2,1,50.00%,2,1,1.70%,2,1,50.00%,2,1,3.40%,All O.J. Howard red zone receiving plays
Alec Ingold,LVR,2,1,50.00%,1,1,2.70%,1,1,100.00%,1,1,2.90%,All Alec Ingold red zone receiving plays
Jesse James,CHI,2,1,50.00%,8,1,3.50%,2,1,50.00%,8,1,7.70%,All Jesse James red zone receiving plays
Tyler Kroft,NYJ,2,2,100.00%,18,1,3.30%,1,1,100.00%,5,0,4.30%,All Tyler Kroft red zone receiving plays
Jake Kumerow,BUF,2,0,0.00%,0,0,1.80%,0,0,,0,0,0.00%,All Jake Kumerow red zone receiving plays
Christian McCaffrey,CAR,2,2,100.00%,24,0,4.00%,0,0,,0,0,0.00%,All Christian McCaffrey red zone receiving plays
Sony Michel,LAR,2,1,50.00%,3,1,1.80%,1,1,100.00%,3,1,1.90%,All Sony Michel red zone receiving plays
Denzel Mims,NYJ,2,0,0.00%,0,0,3.30%,2,0,0.00%,0,0,8.70%,All Denzel Mims red zone receiving plays
Ty Montgomery,NOR,2,2,100.00%,8,0,3.20%,2,2,100.00%,8,0,7.70%,All Ty Montgomery red zone receiving plays
Chris Moore,HOU,2,2,100.00%,15,0,4.30%,0,0,,0,0,0.00%,All Chris Moore red zone receiving plays
Josh Oliver,BAL,2,1,50.00%,9,0,2.70%,0,0,,0,0,0.00%,All Josh Oliver red zone receiving plays
Qadree Ollison,ATL,2,1,50.00%,4,0,2.60%,2,1,50.00%,4,0,5.70%,All Qadree Ollison red zone receiving plays
Colby Parkinson,SEA,2,1,50.00%,12,0,3.80%,0,0,,0,0,0.00%,All Colby Parkinson red zone receiving plays
Elijhaa Penny,NYG,2,2,100.00%,4,1,3.60%,1,1,100.00%,3,1,3.60%,All Elijhaa Penny red zone receiving plays
Dante Pettis,NYG,2,1,50.00%,5,1,3.60%,1,1,100.00%,5,1,3.60%,All Dante Pettis red zone receiving plays
Patrick Ricard,BAL,2,1,50.00%,1,1,2.70%,2,1,50.00%,1,1,5.90%,All Patrick Ricard red zone receiving plays
Jalen Richard,LVR,2,1,50.00%,5,0,2.70%,1,0,0.00%,0,0,2.90%,All Jalen Richard red zone receiving plays
James Robinson,JAX,2,2,100.00%,5,0,3.80%,1,1,100.00%,-2,0,3.40%,All James Robinson red zone receiving plays
Amari Rodgers,GNB,2,0,0.00%,0,0,1.80%,1,0,0.00%,0,0,2.00%,All Amari Rodgers red zone receiving plays
Anthony Schwartz,CLE,2,1,50.00%,5,1,3.60%,1,1,100.00%,5,1,3.60%,All Anthony Schwartz red zone receiving plays
Ben Skowronek,LAR,2,0,0.00%,0,0,1.80%,2,0,0.00%,0,0,3.80%,All Ben Skowronek red zone receiving plays
Darius Slayton,NYG,2,0,0.00%,0,0,3.60%,0,0,,0,0,0.00%,All Darius Slayton red zone receiving plays
Lee Smith,ATL,2,1,50.00%,1,1,2.60%,2,1,50.00%,1,1,5.70%,All Lee Smith red zone receiving plays
Willie Snead,LVR,2,1,50.00%,3,0,2.70%,2,1,50.00%,3,0,5.90%,All Willie Snead red zone receiving plays
Jeremy Sprinkle,DAL,2,2,100.00%,20,0,2.00%,0,0,,0,0,0.00%,All Jeremy Sprinkle red zone receiving plays
Rhamondre Stevenson,NWE,2,1,50.00%,0,0,2.90%,1,0,0.00%,0,0,3.40%,All Rhamondre Stevenson red zone receiving plays
Kenny Stills,NOR,2,1,50.00%,8,1,3.20%,1,1,100.00%,8,1,3.80%,All Kenny Stills red zone receiving plays
Jack Stoll,PHI,2,2,100.00%,13,0,3.40%,1,1,100.00%,4,0,3.70%,All Jack Stoll red zone receiving plays
Jonathan Taylor,IND,2,2,100.00%,13,0,3.20%,1,1,100.00%,7,0,2.80%,All Jonathan Taylor red zone receiving plays
Malik Taylor,GNB,2,2,100.00%,14,0,1.80%,0,0,,0,0,0.00%,All Malik Taylor red zone receiving plays
Nick Vannett,NOR,2,1,50.00%,11,1,3.20%,0,0,,0,0,0.00%,All Nick Vannett red zone receiving plays
Albert Wilson,MIA,2,1,50.00%,1,0,2.70%,0,0,,0,0,0.00%,All Albert Wilson red zone receiving plays
Brandon Zylstra,CAR,2,1,50.00%,8,0,4.00%,0,0,,0,0,0.00%,All Brandon Zylstra red zone receiving plays
Shane Zylstra,DET,2,0,0.00%,0,0,3.30%,1,0,0.00%,0,0,4.00%,All Shane Zylstra red zone receiving plays
Cam Akers,LAR,1,1,100.00%,2,0,0.90%,0,0,,0,0,0.00%,All Cam Akers red zone receiving plays
Geronimo Allison,DET,1,0,0.00%,0,0,1.70%,0,0,,0,0,0.00%,All Geronimo Allison red zone receiving plays
Stephen Anderson,LAC,1,1,100.00%,2,1,1.00%,1,1,100.00%,2,1,2.00%,All Stephen Anderson red zone receiving plays
Alex Armah,NOR,1,1,100.00%,1,1,1.60%,1,1,100.00%,1,1,3.80%,All Alex Armah red zone receiving plays
Kalen Ballage,PIT,1,0,0.00%,0,0,1.10%,1,0,0.00%,0,0,2.30%,All Kalen Ballage red zone receiving plays
Blake Bell,KAN,1,1,100.00%,7,0,1.10%,0,0,,0,0,0.00%,All Blake Bell red zone receiving plays
Le'Veon Bell,TAM,1,1,100.00%,1,1,0.90%,1,1,100.00%,1,1,1.70%,All Le'Veon Bell red zone receiving plays
Eno Benjamin,ARI,1,1,100.00%,10,0,1.30%,0,0,,0,0,0.00%,All Eno Benjamin red zone receiving plays
Trinity Benson,DET,1,0,0.00%,0,0,1.70%,0,0,,0,0,0.00%,All Trinity Benson red zone receiving plays
Christian Blake,ATL,1,0,0.00%,0,0,1.30%,1,0,0.00%,0,0,2.90%,All Christian Blake red zone receiving plays
C.J. Board,NYG,1,1,100.00%,6,0,1.80%,1,1,100.00%,6,0,3.60%,All C.J. Board red zone receiving plays
Reggie Bonnafon,CAR,1,1,100.00%,6,0,2.00%,0,0,,0,0,0.00%,All Reggie Bonnafon red zone receiving plays
Nick Boyle,BAL,1,1,100.00%,2,0,1.40%,1,1,100.00%,2,0,2.90%,All Nick Boyle red zone receiving plays
Malcolm Brown,MIA,1,1,100.00%,4,0,1.40%,0,0,,0,0,0.00%,All Malcolm Brown red zone receiving plays
Michael Burton,KAN,1,1,100.00%,0,0,1.10%,1,1,100.00%,0,0,2.10%,All Michael Burton red zone receiving plays
Jason Cabinda,DET,1,1,100.00%,6,1,1.70%,1,1,100.00%,6,1,4.00%,All Jason Cabinda red zone receiving plays
DJ Chark,JAX,1,1,100.00%,12,1,1.90%,0,0,,0,0,0.00%,All DJ Chark red zone receiving plays
Nick Chubb,CLE,1,1,100.00%,5,1,1.80%,1,1,100.00%,5,1,3.60%,All Nick Chubb red zone receiving plays
Chris Conley,HOU,1,1,100.00%,6,0,2.10%,0,0,,0,0,0.00%,All Chris Conley red zone receiving plays
James Conner,ARI,1,1,100.00%,13,0,1.30%,0,0,,0,0,0.00%,All James Conner red zone receiving plays
Dalvin Cook,MIN,1,1,100.00%,4,0,1.40%,0,0,,0,0,0.00%,All Dalvin Cook red zone receiving plays
DeeJay Dallas,SEA,1,1,100.00%,2,0,1.90%,0,0,,0,0,0.00%,All DeeJay Dallas red zone receiving plays
Darrell Daniels,ARI,1,0,0.00%,0,0,1.30%,0,0,,0,0,0.00%,All Darrell Daniels red zone receiving plays
Dion Dawkins,BUF,1,0,0.00%,0,0,0.90%,1,0,0.00%,0,0,2.00%,All Dion Dawkins red zone receiving plays
Taylor Decker,DET,1,1,100.00%,6,1,1.70%,1,1,100.00%,6,1,4.00%,All Taylor Decker red zone receiving plays
Phillip Dorsett,SEA,1,1,100.00%,3,0,1.90%,1,1,100.00%,3,0,5.30%,All Phillip Dorsett red zone receiving plays
Greg Dortch,ARI,1,1,100.00%,10,0,1.30%,0,0,,0,0,0.00%,All Greg Dortch red zone receiving plays
Luke Farrell,JAX,1,1,100.00%,7,0,1.90%,0,0,,0,0,0.00%,All Luke Farrell red zone receiving plays
Demetric Felton,CLE,1,1,100.00%,10,1,1.80%,1,1,100.00%,10,1,3.60%,All Demetric Felton red zone receiving plays
Reggie Gilliam,BUF,1,0,0.00%,0,0,0.90%,0,0,,0,0,0.00%,All Reggie Gilliam red zone receiving plays
Cyril Grayson,TAM,1,1,100.00%,12,0,0.90%,0,0,,0,0,0.00%,All Cyril Grayson red zone receiving plays
C.J. Ham,MIN,1,1,100.00%,9,0,1.40%,0,0,,0,0,0.00%,All C.J. Ham red zone receiving plays
Demetrius Harris,ARI,1,0,0.00%,0,0,1.30%,1,0,0.00%,0,0,2.60%,All Demetrius Harris red zone receiving plays
N'Keal Harry,NWE,1,0,0.00%,0,0,1.40%,1,0,0.00%,0,0,3.40%,All N'Keal Harry red zone receiving plays
Penny Hart,SEA,1,0,0.00%,0,0,1.90%,0,0,,0,0,0.00%,All Penny Hart red zone receiving plays
Daniel Helm,LVR,1,0,0.00%,0,0,1.40%,1,0,0.00%,0,0,2.90%,All Daniel Helm red zone receiving plays
Chris Herndon,MIN,1,1,100.00%,2,1,1.40%,1,1,100.00%,2,1,3.10%,All Chris Herndon red zone receiving plays
Jordan Howard,PHI,1,1,100.00%,9,0,1.70%,0,0,,0,0,0.00%,All Jordan Howard red zone receiving plays
Tommy Hudson,TEN,1,1,100.00%,3,0,1.30%,0,0,,0,0,0.00%,All Tommy Hudson red zone receiving plays
Lil'Jordan Humphrey,NOR,1,1,100.00%,4,1,1.60%,1,1,100.00%,4,1,3.80%,All Lil'Jordan Humphrey red zone receiving plays
Jalen Hurts,PHI,1,0,0.00%,0,0,1.70%,1,0,0.00%,0,0,3.70%,All Jalen Hurts red zone receiving plays
Carlos Hyde,JAX,1,1,100.00%,4,0,1.90%,0,0,,0,0,0.00%,All Carlos Hyde red zone receiving plays
Trenton Irwin,CIN,1,0,0.00%,0,0,1.80%,0,0,,0,0,0.00%,All Trenton Irwin red zone receiving plays
Tyree Jackson,PHI,1,1,100.00%,3,1,1.70%,1,1,100.00%,3,1,3.70%,All Tyree Jackson red zone receiving plays
Collin Johnson,NYG,1,0,0.00%,0,0,1.80%,1,0,0.00%,0,0,3.60%,All Collin Johnson red zone receiving plays
D'Ernest Johnson,CLE,1,1,100.00%,6,0,1.80%,0,0,,0,0,0.00%,All D'Ernest Johnson red zone receiving plays
Jakob Johnson,NWE,1,1,100.00%,2,0,1.40%,1,1,100.00%,2,0,3.40%,All Jakob Johnson red zone receiving plays
Lane Johnson,PHI,1,1,100.00%,5,1,1.70%,1,1,100.00%,5,1,3.70%,All Lane Johnson red zone receiving plays
Ronald Jones,TAM,1,0,0.00%,0,0,0.90%,1,0,0.00%,0,0,1.70%,All Ronald Jones red zone receiving plays
Tony Jones,NOR,1,1,100.00%,3,0,1.60%,1,1,100.00%,3,0,3.80%,All Tony Jones red zone receiving plays
Joshua Kelley,LAC,1,0,0.00%,0,0,1.00%,0,0,,0,0,0.00%,All Joshua Kelley red zone receiving plays
Tom Kennedy,DET,1,1,100.00%,8,0,1.70%,0,0,,0,0,0.00%,All Tom Kennedy red zone receiving plays
Keith Kirkwood,CAR,1,0,0.00%,0,0,2.00%,1,0,0.00%,0,0,3.80%,All Keith Kirkwood red zone receiving plays
Patrick Laird,MIA,1,1,100.00%,5,0,1.40%,1,1,100.00%,5,0,2.60%,All Patrick Laird red zone receiving plays
Phillip Lindsay,HOU,1,0,0.00%,0,0,2.10%,1,0,0.00%,0,0,4.20%,All Phillip Lindsay red zone receiving plays
Drew Lock,DEN,1,1,100.00%,1,0,1.70%,1,1,100.00%,1,0,3.10%,All Drew Lock red zone receiving plays
Conor McDermott,NYJ,1,1,100.00%,1,1,1.60%,1,1,100.00%,1,1,4.30%,All Conor McDermott red zone receiving plays
Codey McElroy,TAM,1,0,0.00%,0,0,0.90%,0,0,,0,0,0.00%,All Codey McElroy red zone receiving plays
Sean McKeon,DAL,1,1,100.00%,10,1,1.00%,1,1,100.00%,10,1,2.90%,All Sean McKeon red zone receiving plays
Tre' McKitty,LAC,1,0,0.00%,0,0,1.00%,0,0,,0,0,0.00%,All Tre' McKitty red zone receiving plays
Racey McMath,TEN,1,0,0.00%,0,0,1.30%,0,0,,0,0,0.00%,All Racey McMath red zone receiving plays
Anthony Miller,HOU,1,1,100.00%,1,1,2.10%,1,1,100.00%,1,1,4.20%,All Anthony Miller red zone receiving plays
Dax Milne,WAS,1,0,0.00%,0,0,1.90%,0,0,,0,0,0.00%,All Dax Milne red zone receiving plays
Elijah Mitchell,SFO,1,1,100.00%,8,1,1.80%,1,1,100.00%,8,1,3.30%,All Elijah Mitchell red zone receiving plays
D.J. Montgomery,NYJ,1,0,0.00%,0,0,1.60%,0,0,,0,0,0.00%,All D.J. Montgomery red zone receiving plays
Chris Myarick,NYG,1,1,100.00%,1,1,1.80%,1,1,100.00%,1,1,3.60%,All Chris Myarick red zone receiving plays
Matt Nelson,DET,1,0,0.00%,0,0,1.70%,1,0,0.00%,0,0,4.00%,All Matt Nelson red zone receiving plays
Kene Nwangwu,MIN,1,0,0.00%,0,0,1.40%,0,0,,0,0,0.00%,All Kene Nwangwu red zone receiving plays
Dezmon Patmon,IND,1,1,100.00%,14,1,1.60%,0,0,,0,0,0.00%,All Dezmon Patmon red zone receiving plays
Rashaad Penny,SEA,1,0,0.00%,0,0,1.90%,0,0,,0,0,0.00%,All Rashaad Penny red zone receiving plays
Adrian Peterson,TEN,1,1,100.00%,-1,0,1.30%,1,1,100.00%,-1,0,2.90%,All Adrian Peterson red zone receiving plays
Danny Pinter,IND,1,1,100.00%,2,1,1.60%,1,1,100.00%,2,1,2.80%,All Danny Pinter red zone receiving plays
Mike Remmers,KAN,1,1,100.00%,-2,0,1.10%,1,1,100.00%,-2,0,2.10%,All Mike Remmers red zone receiving plays
Giovanni Ricci,CAR,1,0,0.00%,0,0,2.00%,1,0,0.00%,0,0,3.80%,All Giovanni Ricci red zone receiving plays
Aaron Rodgers,GNB,1,1,100.00%,-4,0,0.90%,0,0,,0,0,0.00%,All Aaron Rodgers red zone receiving plays
Richard Rodgers,PHI,1,1,100.00%,2,0,1.70%,1,1,100.00%,2,0,3.70%,All Richard Rodgers red zone receiving plays
John Ross,NYG,1,0,0.00%,0,0,1.80%,1,0,0.00%,0,0,3.60%,All John Ross red zone receiving plays
Henry Ruggs,LVR,1,0,0.00%,0,0,1.40%,0,0,,0,0,0.00%,All Henry Ruggs red zone receiving plays
Curtis Samuel,WAS,1,0,0.00%,0,0,1.90%,0,0,,0,0,0.00%,All Curtis Samuel red zone receiving plays
Eric Saubert,DEN,1,1,100.00%,1,1,1.70%,1,1,100.00%,1,1,3.10%,All Eric Saubert red zone receiving plays
Boston Scott,PHI,1,0,0.00%,0,0,1.70%,1,0,0.00%,0,0,3.70%,All Boston Scott red zone receiving plays
David Sills,NYG,1,0,0.00%,0,0,1.80%,0,0,,0,0,0.00%,All David Sills red zone receiving plays
Ihmir Smith-Marsette,MIN,1,1,100.00%,7,1,1.40%,1,1,100.00%,7,1,3.10%,All Ihmir Smith-Marsette red zone receiving plays
Shi Smith,CAR,1,1,100.00%,16,0,2.00%,0,0,,0,0,0.00%,All Shi Smith red zone receiving plays
Vyncint Smith,NYJ,1,0,0.00%,0,0,1.60%,0,0,,0,0,0.00%,All Vyncint Smith red zone receiving plays
Diontae Spencer,DEN,1,0,0.00%,0,0,1.70%,1,0,0.00%,0,0,3.10%,All Diontae Spencer red zone receiving plays
Johnny Stanton,CLE,1,1,100.00%,1,1,1.80%,1,1,100.00%,1,1,3.60%,All Johnny Stanton red zone receiving plays
Terence Steele,DAL,1,1,100.00%,1,1,1.00%,1,1,100.00%,1,1,2.90%,All Terence Steele red zone receiving plays
Stephen Sullivan,CAR,1,0,0.00%,0,0,2.00%,0,0,,0,0,0.00%,All Stephen Sullivan red zone receiving plays
Tommy Sweeney,BUF,1,1,100.00%,1,1,0.90%,1,1,100.00%,1,1,2.00%,All Tommy Sweeney red zone receiving plays
Auden Tate,CIN,1,1,100.00%,7,1,1.80%,1,1,100.00%,7,1,3.40%,All Auden Tate red zone receiving plays
Patrick Taylor,GNB,1,1,100.00%,3,0,0.90%,1,1,100.00%,3,0,2.00%,All Patrick Taylor red zone receiving plays
Trent Taylor,CIN,1,0,0.00%,0,0,1.80%,0,0,,0,0,0.00%,All Trent Taylor red zone receiving plays
Andrew Thomas,NYG,1,1,100.00%,2,1,1.80%,1,1,100.00%,2,1,3.60%,All Andrew Thomas red zone receiving plays
Ke'Shawn Vaughn,TAM,1,1,100.00%,5,0,0.90%,1,1,100.00%,5,0,1.70%,All Ke'Shawn Vaughn red zone receiving plays
Tylan Wallace,BAL,1,0,0.00%,0,0,1.40%,0,0,,0,0,0.00%,All Tylan Wallace red zone receiving plays
James White,NWE,1,1,100.00%,-1,0,1.40%,0,0,,0,0,0.00%,All James White red zone receiving plays
Christian Wilkins,MIA,1,1,100.00%,1,1,1.40%,1,1,100.00%,1,1,2.60%,All Christian Wilkins red zone receiving plays
Kristian Wilkerson,NWE,1,1,100.00%,6,1,1.40%,1,1,100.00%,6,1,3.40%,All Kristian Wilkerson red zone receiving plays
Damien Williams,CHI,1,1,100.00%,6,0,1.80%,0,0,,0,0,0.00%,All Damien Williams red zone receiving plays
Maxx Williams,ARI,1,1,100.00%,14,1,1.30%,0,0,,0,0,0.00%,All Maxx Williams red zone receiving plays
Trent Williams,SFO,1,0,0.00%,0,0,1.80%,1,0,0.00%,0,0,3.30%,All Trent Williams red zone receiving plays
Tyrell Williams,DET,1,1,100.00%,7,0,1.70%,0,0,,0,0,0.00%,All Tyrell Williams red zone receiving plays
Zach Wilson,NYJ,1,0,0.00%,0,0,1.60%,1,0,0.00%,0,0,4.30%,All Zach Wilson red zone receiving plays
Brock Wright,DET,1,0,0.00%,0,0,1.70%,1,0,0.00%,0,0,4.00%,All Brock Wright red zone receiving plays
