,Player,Tm,Season,Age,PosRank,PPR/G_prev,PPR/G_prev2,prev_team,avg_depth_of_target,caught_percent,grades_offense,grades_pass_route,route_rate,slot_rate,wide_rate,inline_rate,yprr,man_grades_pass_route,zone_grades_pass_route,grades_pass,team_name_copy,pbe,Improvement,PPR/G,Pass Plays/G,Receptions/G,Routes/G,Targets/G,TD/G,YDS/G,YAC/G,RZ Targets/G,P_Att/G,P_Cmp/G,P_TD/G,P_Yds/G
292,Allen Hurns,JAX,2016-17,25,75,15.006666666666666,9.66875,JAX,12.7,64.6,78.8,78.6,94.4,37.4,61.4,1.0,1.78,83.8,69.4,62.8,JAX,83.4,0.5520792932557639,9.154545454545454,40.8,4.266666666666667,38.53333333333333,6.6,0.6666666666666666,68.73333333333333,23.066666666666666,0.8666666666666667,37.9375,22.1875,2.1875,256.75
293,Jeremy Maclin,KC,2016-17,28,76,16.21333333333333,17.3,KC,10.6,72.5,77.9,79.8,92.8,31.7,67.8,0.4,2.16,73.4,78.7,65.5,KC,82.0,-0.06281310211946066,9.125,36.2,5.8,33.6,8.0,0.5333333333333333,72.53333333333333,23.733333333333334,0.8666666666666667,29.5625,19.375,1.25,203.4375
294,John Brown,ARI,2016-17,26,77,13.833333333333334,9.1875,ARI,15.0,65.7,80.1,79.9,91.6,36.7,63.3,0.0,2.0,78.4,76.6,91.5,ARI,80.2,0.5056689342403629,6.913333333333333,36.53333333333333,4.333333333333333,33.46666666666667,6.6,0.4666666666666667,66.86666666666666,22.133333333333333,1.0666666666666667,35.125,22.0625,2.1875,288.5
301,Kendall Wright,TEN,2016-17,27,84,9.65,11.992857142857144,TEN,12.2,61.0,69.6,69.1,91.7,64.8,35.2,0.0,1.53,59.1,73.4,61.1,TEN,80.9,-0.19535437760571772,8.19090909090909,29.0,3.6,26.6,5.9,0.3,40.8,15.4,0.5,34.4375,21.375,1.5625,218.9375
304,Jermaine Kearse,SEA,2016-17,26,86,9.21875,6.66,SEA,12.1,74.2,67.7,65.6,96.3,13.7,86.1,0.2,1.39,68.0,64.6,82.8,SEA,81.5,0.38419669669669665,6.125,32.0,3.0625,30.8125,4.125,0.3125,42.8125,14.1875,0.5625,30.5625,20.8125,2.125,236.875
305,Eddie Royal,CHI,2016-17,30,89,7.411111111111111,11.325,CHI,3.3,75.5,59.4,58.0,95.8,59.2,40.8,0.0,0.88,60.4,57.9,74.5,CHI,84.2,-0.34559725288202103,9.766666666666667,31.555555555555557,4.111111111111111,30.22222222222222,5.444444444444445,0.1111111111111111,26.444444444444443,20.88888888888889,1.1111111111111112,32.6875,20.875,1.3125,228.75
306,Sammy Watkins,BUF,2016-17,23,88,16.83076923076923,12.375,BUF,17.8,65.9,89.8,89.6,93.1,12.2,87.8,0.0,2.68,77.7,90.4,73.8,BUF,85.8,0.36006216006216013,10.375,32.23076923076923,4.615384615384615,30.0,7.0,0.6923076923076923,80.53846153846153,13.846153846153847,0.46153846153846156,29.0625,18.4375,1.4375,208.9375
310,Albert Wilson,KC,2016-17,24,93,6.764285714285714,3.5,KC,10.4,63.6,63.9,63.4,93.5,11.0,88.5,0.0,1.16,68.8,59.7,65.5,KC,82.0,0.9326530612244898,5.11875,29.785714285714285,2.5,27.857142857142858,3.9285714285714284,0.14285714285714285,32.214285714285715,15.785714285714286,0.42857142857142855,29.5625,19.375,1.25,203.4375
312,Russell Shepard,TB,2016-17,26,95,0.9076923076923078,0.64375,TB,16.0,33.3,58.0,51.6,91.1,42.9,54.5,0.9,0.27,60.6,46.8,67.2,TB,83.7,0.41000746825989554,5.0,9.333333333333334,0.25,8.5,0.75,0.08333333333333333,2.3333333333333335,0.08333333333333333,0.16666666666666666,33.4375,19.5,1.375,240.75
313,Danny Amendola,NE,2016-17,31,96,10.592857142857143,3.3125,NE,7.0,81.3,78.4,79.2,94.3,83.6,16.0,0.2,1.57,82.5,68.7,66.1,NE,81.6,2.197843665768194,5.7749999999999995,31.285714285714285,4.642857142857143,29.5,5.714285714285714,0.21428571428571427,46.285714285714285,18.714285714285715,0.7857142857142857,39.3125,25.25,2.25,286.6875
